PID,SSN,Depth,C,N,P,K,S,Ca,Mg
ET-fjDdKT,icr030124,35,11526,762,4.3,145.4,11.7,908.5,179.3
ET-foKvLH,icr030367,10,46484,1516,2.6,112.4,34.1,20710.0,449.4
ET-foKvLH,icr030368,35,49827,722,0.6,55.4,28.1,33130.0,558.0
ET-gTmVz8,icr038216,10,18672,1624,6.3,155.9,11.4,5409.1,1399.0
ET-HbhZoG,icr033831,10,23252,1648,5.3,370.6,28.3,16318.3,1580.0
ET-HbhZoG,icr033832,35,19729,1222,3.8,301.4,77.7,15978.3,1848.0
ET-hf1JNN,icr030183,10,25486,1633,7.7,188.0,8.0,1905.0,381.4
ET-hf1JNN,icr030184,35,22783,1393,6.8,213.2,10.2,2083.0,431.4
ET-hGM0RD,icr030083,10,72340,3888,12.5,428.1,15.5,5435.0,828.6
ET-hGM0RD,icr030084,35,50463,2551,3.2,142.7,11.8,3400.0,523.1
ET-IGa4bc,icr030352,10,70767,2688,4.6,192.3,29.4,20560.0,329.9
ET-IGa4bc,icr030353,35,70644,2021,1.7,111.4,32.7,29960.0,363.3
ET-Io35lf,icr033732,10,11224,889,10.0,688.2,19.8,9127.3,1600.0
ET-Io35lf,icr033733,35,11670,643,2.3,218.1,57.0,13258.3,2693.0
ET-jHBSXV,icr030511,10,56310,4069,5.2,447.5,65.7,11000.0,545.9
ET-jHBSXV,icr030512,35,61567,3925,3.6,292.8,47.6,11880.0,520.2
ET-JPPCqX,icr038351,10,14355,1088,118.2,582.9,11.3,5537.1,1310.0
ET-JPPCqX,icr038352,35,13506,1054,82.2,551.1,10.9,5860.1,1372.0
ET-kGDRVV,icr038251,10,38118,2858,7.2,123.2,24.4,5967.1,1884.0
ET-kGDRVV,icr038252,35,20843,1533,2.9,101.7,11.5,6371.1,2023.0
ET-kQye5V,icr030200,10,50223,2489,2.6,123.0,11.9,2694.0,570.4
ET-kQye5V,icr030201,35,73840,3787,13.0,301.4,15.9,4775.0,947.7
ET-KwN4pt,icr030416,10,70078,3360,6.5,321.3,35.2,16823.1,361.8
ET-Lx7sf7,icr038368,10,24744,1752,79.1,599.8,12.0,5147.1,816.2
ET-Lx7sf7,icr038369,35,18761,1353,42.7,431.8,7.8,4844.1,767.3
ET-MCfLbU,icr033752,10,19149,1397,7.2,1091.0,9.0,5501.3,888.8
ET-MCfLbU,icr033753,35,16413,1299,2.3,713.8,13.3,13318.3,1475.0
ET-MV3cNL,icr033890,10,19333,1317,5.7,1033.0,17.2,10228.3,1231.0
ET-MV3cNL,icr033891,35,15863,881,6.0,663.2,22.3,13538.3,1690.0
ET-na9beQ,icr038289,10,20788,1447,52.2,386.5,10.7,5676.1,1335.0
ET-na9beQ,icr038290,35,20735,1493,31.5,316.1,9.8,5717.1,1392.0
ET-NH5Pwg,icr033771,10,13894,1302,3.0,976.9,9.3,3818.3,1275.0
ET-NH5Pwg,icr033772,35,9851,1007,2.3,727.2,18.1,7487.3,1551.0
ET-nLyI29,icr033637,10,20773,1709,170.9,1651.0,21.4,7215.3,997.0
ET-nLyI29,icr033638,35,12969,973,63.1,2037.0,17.6,9501.3,1080.0
ET-OdgcsB,icr030296,10,40239,2117,91.3,356.8,10.6,3735.0,563.6
ET-OdgcsB,icr030297,35,30823,1643,37.4,228.5,9.4,2868.0,445.8
ET-OpLHP7,icr038106,10,10705,1011,6.3,97.6,12.7,6359.1,1698.0
ET-OpLHP7,icr038107,35,10906,791,3.1,96.7,8.3,6573.1,1778.0
ET-PMdSNr,icr030238,10,57898,3291,13.6,272.7,12.6,5194.0,719.9
ET-PMdSNr,icr030239,35,39185,2284,3.3,109.4,12.8,2843.0,338.4
ET-QrpJ9x,icr038305,10,5179,492,57.0,369.1,8.9,5612.1,940.9
ET-QrpJ9x,icr038306,35,5337,371,39.9,279.5,8.4,5940.1,1009.0
ET-rAOBdx,icr030258,10,16935,1188,8.6,150.0,8.4,1088.0,289.4
ET-rAOBdx,icr030259,35,12311,920,8.4,117.5,8.4,860.1,219.0
ET-rYWM6z,icr038154,10,16487,1408,23.4,341.4,10.7,5361.1,1217.0
ET-rYWM6z,icr038155,35,19745,1510,20.2,444.7,9.6,5388.1,1169.0
ET-Slm40c,icr030063,10,79436,4731,221.8,986.2,20.2,8756.0,1137.0
ET-Slm40c,icr030064,35,53093,3190,110.1,477.1,20.3,6086.0,1009.0
ET-tat2D0,icr030316,10,17851,1370,17.1,172.4,8.5,1652.0,295.1
ET-tat2D0,icr030317,35,15080,1135,14.4,176.3,8.7,1324.0,226.6
ET-TgfoDn,icr038312,10,33770,2434,131.8,522.4,14.3,7331.1,1241.0
ET-TgfoDn,icr038313,35,25583,1789,148.7,449.3,11.2,6114.1,1182.0
ET-TYpjnR,icr030400,10,35523,1805,3.3,376.8,31.7,17913.1,514.8
ET-TYpjnR,icr030401,35,39448,1664,2.0,270.4,27.7,21363.1,593.6
ET-ud6xip,icr030043,10,69849,3603,68.4,785.8,14.2,5334.0,827.8
ET-ud6xip,icr030044,35,47998,2677,8.2,259.1,13.0,2726.0,493.0
ET-V1Xm9Q,icr030103,10,23171,1629,32.4,270.4,10.3,2054.0,422.4
ET-V1Xm9Q,icr030104,35,9794,747,15.7,150.0,6.8,1000.0,269.8
ET-VA6GSK,icr030551,10,35434,1847,5.9,504.5,41.1,18380.0,602.8
ET-VA6GSK,icr030552,35,35749,1466,2.9,399.0,34.5,10870.0,802.3
ET-VOsQwj,icr033676,10,21771,1574,16.4,1027.0,20.1,10048.3,778.3
ET-VOsQwj,icr033677,35,17115,1001,9.1,582.5,21.2,11898.3,1038.0
ET-vtebk6,icr030276,10,24533,1776,3.1,136.7,9.5,2574.0,585.2
ET-vtebk6,icr030277,35,15324,1230,1.1,86.7,6.9,2084.0,486.6
ET-XcpBJw,icr033696,10,22890,1539,8.1,504.9,35.9,14858.3,1992.0
ET-XcpBJw,icr033697,35,20184,1139,5.0,315.1,80.2,14538.3,2233.0
ET-XIQOUZ,icr033602,10,18671,1327,14.8,951.3,17.0,10358.3,1214.0
ET-XIQOUZ,icr033603,35,15643,999,13.0,832.1,16.2,10018.3,1273.0
ET-XyWBPl,icr030438,10,30218,1555,4.3,583.3,35.9,14613.1,762.2
ET-XyWBPl,icr030439,35,31539,1250,2.0,337.0,38.4,16923.1,887.9
ET-YkPZFs,icr030494,10,33500,1914,12.4,3566.0,259.7,11670.0,542.9
ET-YkPZFs,icr030495,35,33616,1405,1.7,355.6,34.5,11770.0,1000.0
ET-YW2gbq,icr038118,10,9129,800,3.5,98.6,10.5,6876.1,1890.0
ET-YW2gbq,icr038119,35,6110,364,2.9,74.8,7.1,6839.1,1775.0
ET-yZXwyG,icr030376,10,109342,1547,1.2,58.9,28.9,34460.0,176.5
ET-yZXwyG,icr030377,35,103982,877,0.4,37.5,22.5,22300.0,182.2
ET-ZU7W3Q,icr033656,10,14598,1126,6.4,589.7,8.6,5511.3,1283.0
ET-ZU7W3Q,icr033657,35,13534,890,6.5,355.0,10.7,9591.3,1563.0
ET-zvuOyN,icr030531,10,29919,1502,5.3,522.2,24.4,13020.0,769.5
ET-zvuOyN,icr030532,35,101191,6589,382.7,5047.0,231.2,8377.0,934.7
GH-0n8J4R,icr015772,10,13998,1473,3.4,93.8,11.8,701.4,257.8
GH-0n8J4R,icr015773,35,7267,887,1.3,39.7,26.4,340.3,152.1
GH-1x462h,icr015712,10,12405,1019,3.5,103.3,14.1,984.5,117.8
GH-1x462h,icr015713,35,6187,596,1.3,61.5,27.3,598.2,89.3
GH-5WbuX6,icr015532,10,22745,2609,6.8,80.9,16.2,1935.0,123.1
GH-5WbuX6,icr015533,35,8619,959,1.8,43.4,20.7,929.7,106.6
GH-5zRuRb,icr015122,10,12447,820,1.9,31.7,8.3,333.8,109.8
GH-5zRuRb,icr015123,35,8140,618,3.0,30.2,5.2,166.0,51.6
GH-86Comj,icr015732,10,9758,978,6.1,61.4,9.8,1324.0,145.3
GH-86Comj,icr015733,35,4793,489,1.6,28.6,8.9,809.6,93.9
GH-8CGPx0,icr015512,10,13150,1570,3.4,75.0,15.4,1072.0,164.4
GH-8CGPx0,icr015513,35,6288,753,1.5,63.9,30.2,594.5,117.0
GH-8r0OC9,icr015352,10,5106,432,5.5,31.8,4.8,395.8,68.4
GH-8r0OC9,icr015353,35,3111,213,3.0,24.6,3.1,368.7,68.5
GH-9FNy3e,icr016012,10,28014,2795,2.8,133.4,10.3,2555.0,1031.0
GH-9FNy3e,icr016013,35,13471,1423,0.8,68.7,6.5,2054.0,1133.0
GH-9U3W7K,icr015236,10,3190,316,2.9,20.9,3.1,334.1,48.1
GH-9U3W7K,icr015237,35,2156,235,1.0,15.8,2.9,270.1,45.9
GH-ajq65Y,icr015103,10,11406,810,39.2,149.4,5.4,1895.0,344.9
GH-ajq65Y,icr015104,35,8209,614,6.6,88.7,3.1,1787.0,326.7
GH-BCABYj,icr015972,10,15312,1609,6.0,85.8,14.1,1535.0,269.0
GH-BCABYj,icr015973,35,8632,879,1.3,51.9,10.1,735.0,234.3
GH-BzCIhM,icr015652,10,14428,1227,3.4,31.1,12.9,992.1,177.9
GH-BzCIhM,icr015653,35,6136,588,0.8,23.2,52.9,437.4,90.6
GH-CMirxB,icr015992,10,7868,800,12.1,43.1,6.8,514.9,156.5
GH-CMirxB,icr015993,35,2962,385,2.5,12.1,4.5,230.8,117.6
GH-cXotIk,icr015852,10,12826,1457,2.9,120.5,11.0,483.5,182.0
GH-cXotIk,icr015853,35,7156,908,0.5,50.7,26.0,325.5,164.8
GH-dIgXMO,icr015137,10,9583,641,4.1,39.8,4.8,415.0,119.5
GH-dIgXMO,icr015138,35,6214,404,1.7,32.0,3.5,182.3,73.0
GH-EcjVpi,icr015275,10,6275,529,4.8,72.9,4.2,461.6,85.1
GH-EcjVpi,icr015276,35,5019,458,1.6,77.5,4.6,384.6,89.1
GH-fCvIxj,icr015752,10,7045,741,0.8,59.9,8.1,603.0,243.2
GH-fCvIxj,icr015753,35,13075,1292,2.4,107.0,6.2,714.9,257.6
GH-GVxmUJ,icr015452,10,15534,1561,7.8,77.4,10.9,1694.0,178.1
GH-GVxmUJ,icr015453,35,5226,562,2.1,87.3,17.5,994.8,147.6
GH-heqUpH,icr016052,10,19997,2130,3.4,159.2,10.3,1277.0,302.4
GH-heqUpH,icr016053,35,15068,1715,3.2,138.4,9.6,1399.0,267.1
GH-hwmuaF,icr015315,10,3421,355,1.5,94.8,4.5,325.7,100.5
GH-iBWDhv,icr015612,10,8016,828,1.3,83.4,27.0,958.8,118.9
GH-iBWDhv,icr015613,35,20165,2109,4.7,139.9,11.7,1838.0,149.5
GH-iE4Gwn,icr015872,10,14409,1580,3.3,153.6,7.6,751.2,223.2
GH-iE4Gwn,icr015873,35,9333,1020,1.7,91.4,13.2,448.9,173.6
GH-InP69m,icr015492,10,23664,2171,12.7,76.0,10.8,2128.0,238.9
GH-InP69m,icr015493,35,8972,1010,4.4,51.4,13.7,894.0,126.7
GH-JnIBJg,icr015295,10,5153,477,3.1,82.1,6.9,757.7,139.5
GH-JnIBJg,icr015296,35,3451,239,0.7,31.4,2.3,278.9,52.2
GH-JvbwrV,icr015892,10,8843,977,2.6,53.1,5.3,599.5,147.0
GH-JvbwrV,icr015893,35,5253,640,0.9,39.9,4.9,421.0,132.2
GH-KypyOq,icr015063,10,5795,451,3.1,32.1,5.4,318.4,68.5
GH-KypyOq,icr015064,35,3143,282,1.4,13.1,4.2,214.7,50.3
GH-oJeKpM,icr015256,10,10971,737,2.4,47.9,4.1,1312.0,156.7
GH-oJeKpM,icr015257,35,9996,634,14.0,58.5,3.4,1218.0,159.4
GH-QbN4Kn,icr015792,10,9915,1134,3.0,144.1,10.0,612.9,148.7
GH-QbN4Kn,icr015793,35,5928,812,1.4,136.1,22.3,481.4,137.5
GH-QwtwP6,icr015672,10,6986,640,14.2,33.5,8.3,238.0,36.0
GH-QwtwP6,icr015673,35,1853,224,6.9,21.0,4.7,170.2,16.9
GH-QXLJwC,icr015216,10,3086,320,5.5,25.8,4.5,195.8,32.0
GH-QXLJwC,icr015217,35,2224,280,2.0,18.4,5.7,223.6,32.7
GH-Qzct1w,icr016032,10,27987,2605,5.5,124.4,11.5,3826.0,1013.0
GH-Qzct1w,icr016033,35,14993,1726,1.4,101.0,8.8,3222.0,1006.0
GH-rdDZHn,icr015432,10,22943,2282,11.6,136.9,16.2,1727.0,254.3
GH-rdDZHn,icr015433,35,9923,986,6.6,91.4,13.4,621.9,136.8
GH-rLzih0,icr015932,10,21395,2363,2.6,62.9,20.3,660.3,327.6
GH-rLzih0,icr015933,35,16365,1811,2.1,61.1,30.0,555.5,274.1
GH-rpYxtY,icr015335,10,21159,1554,344.0,546.9,13.4,5862.0,552.2
GH-rpYxtY,icr015336,35,22358,1329,362.7,447.6,12.4,5855.0,616.6
GH-ry1xGf,icr015472,10,10877,1176,7.8,112.4,13.6,1108.0,181.0
GH-ry1xGf,icr015473,35,5365,620,2.0,59.9,25.2,480.1,96.9
GH-SA6LBU,icr015592,10,6876,724,8.2,34.7,6.6,560.7,73.6
GH-SA6LBU,icr015593,35,2660,268,2.3,20.3,5.0,380.0,56.1
GH-ShutWJ,icr015812,10,11927,1273,4.0,140.0,6.1,907.6,193.1
GH-ShutWJ,icr015813,35,19160,2061,2.7,139.9,8.8,769.1,184.2
GH-TsfBTV,icr015552,10,16443,1883,5.3,122.3,12.8,1163.0,172.6
GH-TsfBTV,icr015553,35,8803,997,2.1,65.7,12.5,756.8,121.4
GH-USlMUM,icr015632,10,10549,1073,7.0,62.3,8.1,746.7,129.2
GH-USlMUM,icr015633,35,4572,478,1.9,29.8,7.7,473.1,90.5
GH-UWQ1tZ,icr015912,10,24619,2595,3.0,231.1,8.2,2677.0,908.3
GH-UWQ1tZ,icr015913,35,11107,1340,1.1,90.0,4.4,2474.0,1129.0
GH-uzC0Yf,icr015952,10,13749,1488,2.2,98.0,12.0,511.3,213.7
GH-uzC0Yf,icr015953,35,8836,976,1.2,67.8,20.4,355.1,169.9
GH-wuestW,icr015832,10,4330,680,1.2,90.1,6.0,787.1,232.6
GH-wuestW,icr015833,35,8557,1045,4.1,136.4,9.5,807.8,232.2
GH-xA9c7P,icr015572,10,16486,1764,4.9,144.3,10.7,1353.0,213.1
GH-xA9c7P,icr015573,35,10256,1088,1.7,103.3,12.3,812.1,136.6
GH-XCROf8,icr015177,10,5378,457,2.9,37.1,5.7,446.3,87.9
GH-XCROf8,icr015178,35,4108,424,0.9,33.5,3.3,596.9,164.8
GH-XTGlPk,icr015692,10,12812,1188,3.5,39.4,8.6,608.4,279.5
GH-XTGlPk,icr015693,35,4799,429,1.1,25.9,3.2,311.9,285.2
GH-ycK23Y,icr015157,10,11994,826,3.5,82.3,5.9,922.6,171.0
GH-ycK23Y,icr015158,35,5559,532,0.2,36.8,4.2,580.1,116.6
GH-Z3HYsL,icr015083,10,12246,874,1.0,60.8,6.0,1864.0,525.2
GH-Z3HYsL,icr015084,35,5092,463,0.1,23.4,3.5,1911.0,754.0
GH-zOi7Y1,icr015199,10,28849,2045,2.3,152.9,7.2,2733.0,626.5
GH-zOi7Y1,icr015200,35,33324,2589,2.7,137.3,8.9,3646.0,942.4
GN-17EA0F,icr042853,10,62447,4714,1.4,52.9,24.1,397.0,60.9
GN-17EA0F,icr042854,35,44394,2846,0.7,93.2,26.6,1250.0,223.0
GN-3656wA,icr043248,10,18148,1018,12.2,157.0,6.0,932.0,193.0
GN-3656wA,icr043249,35,11209,790,7.0,100.0,4.9,655.0,135.0
GN-A2z1lx,icr042790,10,56194,3952,1.3,54.4,14.3,606.0,111.0
GN-A2z1lx,icr042791,35,49545,3525,1.0,42.2,14.6,473.0,83.9
GN-aEVWfj,icr043172,10,8491,452,3.3,25.8,5.1,318.0,86.2
GN-aEVWfj,icr043173,35,5354,410,2.3,21.6,20.1,171.0,55.8
GN-ARMPB3,icr043021,10,49336,3213,1.3,39.6,16.0,489.0,93.5
GN-ARMPB3,icr043022,35,44679,2898,1.1,37.2,16.3,254.0,55.2
GN-BlKkXw,icr042990,10,42400,3050,1.6,35.9,13.8,219.0,53.1
GN-BlKkXw,icr042991,35,31546,2109,1.0,27.2,13.1,133.0,36.0
GN-dKGLKT,icr043401,10,25062,1475,4.1,48.1,11.6,203.0,57.8
GN-dKGLKT,icr043402,35,16343,1117,21.0,33.4,9.2,212.0,47.5
GN-fFWHDi,icr042867,10,51772,3386,2.1,62.3,11.1,1190.0,203.0
GN-fFWHDi,icr042868,35,48242,3045,1.8,49.7,7.8,1260.0,211.0
GN-GLd4fd,icr043266,10,20841,1199,13.1,58.4,6.7,976.0,165.0
GN-GLd4fd,icr043267,35,10022,640,6.5,49.3,7.5,345.0,64.0
GN-hO9dKV,icr043132,10,24588,1597,0.8,90.9,8.1,391.0,144.0
GN-hO9dKV,icr043133,35,16725,1124,0.4,49.1,4.0,139.0,43.8
GN-I7bBOl,icr043332,10,8259,594,6.3,10.6,6.6,85.9,20.2
GN-I7bBOl,icr043333,35,6300,541,6.7,9.5,6.6,102.0,20.3
GN-jrnVsA,icr042836,10,46916,3087,1.1,35.8,11.1,290.0,63.2
GN-jrnVsA,icr042837,35,38935,2434,1.3,42.2,10.5,248.0,53.9
GN-ls8KYI,icr042810,10,24146,1744,2.0,50.2,12.0,559.0,168.0
GN-ls8KYI,icr042811,35,14979,1028,1.1,36.2,14.2,321.0,99.8
GN-N7RbaE,icr043363,10,30399,1696,7.0,128.0,4.8,1200.0,251.0
GN-nrRS3g,icr043090,10,48487,3447,2.8,69.5,21.5,181.0,53.7
GN-nrRS3g,icr043091,35,34019,2258,1.3,37.6,13.4,110.0,33.9
GN-ow5syh,icr042908,10,39376,2558,1.4,45.6,11.9,578.0,128.0
GN-ow5syh,icr042909,35,26561,1789,1.0,33.1,11.7,213.0,57.0
GN-ps8oWo,icr042930,10,54622,4152,2.7,82.9,12.0,842.0,140.0
GN-ps8oWo,icr042931,35,41646,3150,2.1,63.2,18.3,373.0,69.4
GN-pTs65U,icr043211,10,18911,1206,4.7,178.0,4.5,447.0,263.0
GN-pTs65U,icr043212,35,10543,1209,0.6,117.0,3.7,242.0,148.0
GN-q3x3Ui,icr043198,10,8278,588,5.9,35.4,5.8,118.0,38.9
GN-q3x3Ui,icr043199,35,6683,492,3.7,29.1,6.1,63.0,22.2
GN-qrhWoa,icr042966,10,50360,3583,1.6,71.9,8.3,1170.0,219.0
GN-qrhWoa,icr042967,35,43052,3025,1.1,62.0,10.2,989.0,187.0
GN-RA4G8M,icr043011,10,58868,4552,1.7,57.2,9.5,546.0,99.1
GN-RA4G8M,icr043012,35,58280,4529,4.2,77.4,12.0,593.0,108.0
GN-rRddj3,icr043390,10,64092,4403,14.1,147.0,13.9,8550.0,501.0
GN-rRddj3,icr043391,35,33028,2010,4.7,74.3,11.3,576.0,129.0
GN-tQESUv,icr043324,10,15537,1394,11.3,19.0,7.5,145.0,22.9
GN-tQESUv,icr043325,35,4346,454,2.7,16.7,5.2,366.0,56.4
GN-TzEDSH,icr043287,10,13838,1024,6.0,39.9,10.3,106.0,24.8
GN-TzEDSH,icr043288,35,6006,614,4.4,13.0,7.2,80.7,19.0
GN-ULMdM7,icr042896,10,28052,2028,5.2,56.0,13.6,285.0,84.3
GN-ULMdM7,icr042897,35,15728,1197,3.3,35.6,24.6,148.0,42.2
GN-UxTzTh,icr043347,10,14734,843,4.3,79.3,4.0,597.0,149.0
GN-UxTzTh,icr043348,35,11145,673,2.4,68.8,4.2,249.0,75.5
GN-VB4w6X,icr043152,10,14933,909,3.6,40.1,6.9,215.0,66.6
GN-VB4w6X,icr043153,35,9436,497,2.0,17.2,6.0,94.7,28.7
GN-w2Nikw,icr043068,10,32354,2292,2.1,50.9,9.8,287.0,81.2
GN-w2Nikw,icr043069,35,15741,1158,1.5,35.3,10.1,156.0,48.2
GN-wqCjb8,icr043040,10,57056,3657,2.0,59.5,12.8,729.0,140.0
GN-wqCjb8,icr043041,35,53900,3402,1.7,49.3,14.1,620.0,116.0
GN-wZ0vzM,icr043299,10,15660,999,1.3,47.7,8.2,266.0,98.9
GN-wZ0vzM,icr043300,35,10670,723,0.6,33.6,5.3,124.0,43.0
GN-xuLmEj,icr043230,10,16093,785,4.8,45.7,7.9,385.0,99.2
GN-xuLmEj,icr043231,35,12466,803,2.8,40.9,6.8,134.0,45.7
GN-ZKmFUl,icr042946,10,52854,3308,2.2,74.9,23.3,623.0,135.0
GN-ZKmFUl,icr042947,35,44274,3091,1.5,55.3,18.4,372.0,83.1
KE-0sEJ1h,icr041699,10,5274,506,34.7,661.0,8.9,1730.0,488.0
KE-0sEJ1h,icr041700,35,3403,287,25.4,579.0,17.6,2620.0,584.0
KE-1iEia9,icr041739,10,7626,482,37.7,532.0,32.9,3900.0,726.0
KE-1iEia9,icr041740,35,5226,435,9.7,369.0,70.0,8030.0,1010.0
KE-2JNn6J,icr041659,10,6037,515,69.8,804.0,14.3,2100.0,510.0
KE-2JNn6J,icr041660,35,4379,393,16.1,919.0,336.0,3480.0,725.0
KE-397W95,icr033486,10,4302,392,5.9,788.8,161.6,14278.3,693.4
KE-397W95,icr033487,35,3081,304,4.0,688.1,1203.9,14398.3,606.8
KE-56jsAj,icr042189,10,69737,5280,10.7,655.0,19.6,4640.0,912.0
KE-56jsAj,icr042190,35,31001,2274,2.7,416.0,13.6,2510.0,764.0
KE-658PLI,icr033445,10,5388,485,11.6,824.3,40.9,10148.3,882.1
KE-658PLI,icr033446,35,2869,298,4.3,424.1,249.7,10798.3,793.0
KE-8TUedB,icr042024,10,14262,1244,114.0,417.0,11.2,1470.0,219.0
KE-8TUedB,icr042025,35,11833,988,115.0,386.0,7.4,1800.0,227.0
KE-9iSCsU,icr041987,10,44498,3968,201.0,1440.0,9.8,3970.0,585.0
KE-9iSCsU,icr041988,35,30294,2202,396.0,1650.0,9.3,4820.0,646.0
KE-ah0lSl,icr041819,10,4539,416,24.3,632.0,44.6,6010.0,1400.0
KE-ah0lSl,icr041820,35,4097,309,12.9,518.0,1040.0,7790.0,1370.0
KE-AxgFP5,icr041641,10,6743,583,33.0,699.0,22.0,3980.0,946.0
KE-AxgFP5,icr041642,35,4074,424,8.2,460.0,212.0,8300.0,1270.0
KE-BW3Zjm,icr033506,10,4748,494,30.3,877.2,28.5,4592.3,507.9
KE-BW3Zjm,icr033507,35,3643,388,15.6,679.4,40.0,4860.3,509.5
KE-cBaGCY,icr033407,10,3548,326,8.2,449.6,345.5,12248.3,593.2
KE-cBaGCY,icr033408,35,3298,251,6.7,426.1,2728.9,12928.3,636.4
KE-CtEBp3,icr033389,10,4694,504,10.0,612.5,27.9,10008.3,1076.0
KE-CtEBp3,icr033390,35,4048,376,5.8,552.1,39.6,12808.3,1322.0
KE-ctIqDc,icr042078,10,13375,1119,10.3,227.0,10.6,6030.0,548.0
KE-ctIqDc,icr042079,35,7914,670,6.7,149.0,12.4,8550.0,530.0
KE-dnqzsQ,icr042098,10,8516,718,9.5,165.0,8.3,5000.0,467.0
KE-dnqzsQ,icr042099,35,8215,638,9.0,122.0,12.3,6640.0,488.0
KE-EBbAyQ,icr033392,10,3190,289,16.5,586.9,18.1,6898.3,287.9
KE-EBbAyQ,icr033393,35,2728,253,13.0,344.9,26.8,8836.3,381.0
KE-ebNd0I,icr033525,10,2341,209,10.7,249.7,24.8,4973.3,521.9
KE-ebNd0I,icr033526,35,1212,150,6.3,204.6,46.7,5151.3,595.9
KE-eI2ykq,icr042208,10,30929,1757,2.5,506.0,9.4,2160.0,363.0
KE-eI2ykq,icr042209,35,15811,1117,0.4,379.0,7.1,1540.0,331.0
KE-EqHyMI,icr042115,10,32068,1930,3.8,381.0,11.0,2380.0,438.0
KE-EqHyMI,icr042116,35,20184,1254,1.1,160.0,7.9,1880.0,384.0
KE-f3fwtW,icr033582,10,15450,1414,35.0,469.8,76.9,6299.3,772.8
KE-f3fwtW,icr033583,35,9081,786,42.4,252.1,43.2,4558.3,631.0
KE-gJxRgU,icr042247,10,18072,903,4.6,395.0,10.1,10700.0,357.0
KE-gJxRgU,icr042248,35,12764,790,2.7,319.0,10.1,10300.0,386.0
KE-Id7FbE,icr041878,10,10419,898,39.2,649.0,36.6,7710.0,464.0
KE-Id7FbE,icr041879,35,7784,671,25.5,330.0,56.7,11900.0,559.0
KE-JbRnAA,icr041679,10,5903,508,34.3,792.0,10.5,1710.0,537.0
KE-JbRnAA,icr041680,35,4977,449,15.4,860.0,11.3,1940.0,758.0
KE-jDSYFw,icr033447,10,16173,1832,91.7,1862.0,44.8,5987.3,590.5
KE-jDSYFw,icr033448,35,9609,967,36.1,1250.0,48.2,8106.3,579.8
KE-jwGqNL,icr041838,10,6099,559,27.6,528.0,31.9,7800.0,458.0
KE-jwGqNL,icr041839,35,7198,564,20.5,413.0,37.9,7870.0,546.0
KE-Keed8P,icr042152,10,10716,799,4.4,158.0,8.3,7140.0,518.0
KE-Keed8P,icr042153,35,8226,565,2.9,130.0,7.7,7500.0,458.0
KE-KFBZOs,icr041799,10,3966,322,18.0,690.0,20.3,5210.0,1470.0
KE-KFBZOs,icr041800,35,4163,270,15.3,663.0,279.0,5120.0,1480.0
KE-kZdH1c,icr033351,10,4463,434,8.2,530.6,234.9,12698.3,817.5
KE-kZdH1c,icr033352,35,4123,426,7.0,465.2,488.7,12628.3,868.2
KE-mAITq9,icr042170,10,13915,972,6.3,284.0,6.5,1950.0,222.0
KE-mAITq9,icr042171,35,10216,595,4.9,352.0,5.8,3490.0,323.0
KE-MXoWjE,icr042004,10,16376,928,6.4,402.0,11.1,7020.0,634.0
KE-MXoWjE,icr042005,35,13686,702,4.5,263.0,8.1,7960.0,565.0
KE-Nxosdi,icr041935,10,7362,652,23.8,675.0,10.1,2670.0,384.0
KE-Nxosdi,icr041936,35,5141,531,10.4,574.0,12.7,2790.0,450.0
KE-oG3PhS,icr042062,10,20639,1342,2.7,498.0,10.6,2080.0,491.0
KE-oG3PhS,icr042063,35,15507,965,1.1,386.0,9.3,1610.0,436.0
KE-QBk0t1,icr042265,10,10059,832,4.7,244.0,6.9,752.0,175.0
KE-QBk0t1,icr042266,35,6641,711,1.7,304.0,6.4,2130.0,449.0
KE-qfzsYL,icr033466,10,2102,166,8.1,270.3,25.3,5397.3,425.2
KE-qfzsYL,icr033467,35,1284,157,5.8,181.8,151.6,5053.3,345.0
KE-QO0EbZ,icr041915,10,6237,489,16.9,424.0,10.2,1990.0,400.0
KE-QO0EbZ,icr041916,35,4486,415,6.7,395.0,10.5,2790.0,539.0
KE-rrrbNz,icr041898,10,5553,419,20.6,308.0,15.6,2930.0,1210.0
KE-rrrbNz,icr041899,35,3037,368,17.6,267.0,17.9,303.0,157.0
KE-RV7fks,icr042227,10,29262,2464,9.9,184.0,16.1,2050.0,438.0
KE-RV7fks,icr042228,35,9613,713,5.3,91.6,10.6,706.0,319.0
KE-TSErVB,icr033580,10,20218,2073,90.1,3432.0,75.7,6542.3,444.0
KE-TSErVB,icr033581,35,12075,1043,52.8,3021.0,94.0,8907.3,478.8
KE-Ux2A81,icr033371,10,6034,661,9.3,675.3,49.8,9470.3,1079.0
KE-Ux2A81,icr033372,35,4209,496,5.1,491.7,160.4,10098.3,1123.0
KE-WeOSSi,icr041759,10,5640,438,29.2,746.0,17.5,2330.0,502.0
KE-WeOSSi,icr041760,35,3917,402,18.9,687.0,94.5,2470.0,516.0
KE-WJeQjV,icr041719,10,6395,535,14.8,484.0,46.4,7410.0,903.0
KE-WJeQjV,icr041720,35,4246,361,10.9,344.0,148.0,7730.0,1070.0
KE-WrMMZa,icr041858,10,5010,420,26.9,526.0,34.0,2290.0,746.0
KE-WrMMZa,icr041859,35,3316,274,8.3,552.0,153.0,7730.0,1100.0
