SSN,Site,Lat,Lon,Depth,wA,wCN,wK,wV1,wV2,A1,A2,A3,DA
icr015772,Ajumako,5.39579,-0.780362,10,8.502277625,2.536062976,0.38744216,2.865496002,-1.878801575,0.468392387,0.051640947,0.479966666,3
icr015773,Ajumako,5.39579,-0.780362,35,10.0185258,2.66437597,0.38536624,3.054975446,-1.933530997,0.460784152,0.030053068,0.50916278,3
icr015792,Ajumako,5.413793,-0.780368,10,5.8102125,2.985315962,0.53135464,2.038569538,-1.7260312,0.485706784,0.157419169,0.356874047,1
icr015793,Ajumako,5.413793,-0.780368,35,7.69986366,2.85843577,0.49450032,2.490892122,-1.754482022,0.486409324,0.092155078,0.421435598,1
icr015812,Ajumako,5.44978,-0.771613,10,6.020683905,3.04498146,0.2798448,2.50028468,-2.387014928,0.369773746,0.175697915,0.454528339,3
icr015813,Ajumako,5.44978,-0.771613,35,6.842351875,3.02636809,0.29604776,2.637422842,-2.324597737,0.383100589,0.146366453,0.470532958,3
icr015832,Ajumako,5.371555,-0.762728,10,6.118182105,3.583764348,1.59413132,1.253191546,-0.810084781,0.644442746,0.154322774,0.20123448,1
icr015833,Ajumako,5.371555,-0.762728,35,5.93941651,2.964791406,2.00416596,1.187458083,-0.391578684,0.720829467,0.108138628,0.171031905,1
icr015852,Ajumako,5.398152,-0.751177,10,8.485687815,2.21093726,0.29239468,3.141997424,-2.023067271,0.445402193,0.028790331,0.525807476,3
icr015853,Ajumako,5.398152,-0.751177,35,10.78687208,2.566314674,0.23875776,3.497663066,-2.374776688,0.385162073,0.021717383,0.593120544,3
icr015872,Ajumako,5.42006,-0.75521,10,7.801688815,2.486242558,0.38628288,2.766062147,-1.861957886,0.470192637,0.064565297,0.465242066,1
icr015873,Ajumako,5.42006,-0.75521,35,9.031110885,2.28627474,0.36540236,3.054122132,-1.833679918,0.479204425,0.01676894,0.504026635,3
icr015892,Ajumako,5.442548,-0.764775,10,3.851122215,3.371480916,0.68672512,1.238132183,-1.591173272,0.50006342,0.26155797,0.23837861,1
icr015893,Ajumako,5.442548,-0.764775,35,5.16328549,2.913011526,0.67552324,1.737484322,-1.461455153,0.530581444,0.167861581,0.301556975,1
icr015912,Ajumako,5.377035,-0.726425,10,7.366536965,2.966721308,0.8892082,2.01590793,-1.204881281,0.581607511,0.090866715,0.327525774,1
icr015913,Ajumako,5.377035,-0.726425,35,8.67877582,2.935335854,0.64571896,2.454886671,-1.514212794,0.530286642,0.065375545,0.404337814,1
icr015932,Ajumako,5.399108,-0.733822,10,11.79410784,2.066985336,0.17269228,3.976901968,-2.482335183,0.346136061,0,0.653867868,3
icr015933,Ajumako,5.399108,-0.733822,35,12.13227166,2.067482104,0.15487172,4.087043059,-2.59148961,0.325952012,0,0.674052146,3
icr015952,Ajumako,5.415528,-0.736547,10,8.780978875,2.844141546,0.493031,2.671398485,-1.752444507,0.489161575,0.064311383,0.446527042,1
icr015953,Ajumako,5.415528,-0.736547,35,9.930626255,2.793040806,0.48630448,2.856691026,-1.748051246,0.492411677,0.035420181,0.472168142,1
icr015972,Ajumako,5.434675,-0.728883,10,5.468080735,3.034664782,0.26431584,2.412243285,-2.440711495,0.358702941,0.196358924,0.444938135,3
icr015973,Ajumako,5.434675,-0.728883,35,6.66967047,3.075207208,0.27311828,2.646412628,-2.421222601,0.365382949,0.157974418,0.476642633,3
icr015992,Ajumako,5.369818,-0.714002,10,2.356376555,3.33265082,0.17526696,1.501284743,-2.945213011,0.25358537,0.403272915,0.343141716,2
icr015993,Ajumako,5.369818,-0.714002,35,2.42585347,3.444253828,0.1633102,1.565175568,-3.048811105,0.235303247,0.407432286,0.357264467,2
icr016012,Ajumako,5.393727,-0.707133,10,7.180761325,3.570597906,0.78140864,1.944489867,-1.519390102,0.52261221,0.144027467,0.333360323,1
icr016013,Ajumako,5.393727,-0.707133,35,8.18905521,3.49932329,0.71386036,2.193396914,-1.589637514,0.512921802,0.115447565,0.371630633,1
icr016032,Ajumako,5.423182,-0.709083,10,7.84168953,4.087368474,0.53694884,2.221906484,-2.029753817,0.432056048,0.170220385,0.397723568,1
icr016033,Ajumako,5.423182,-0.709083,35,8.46786983,3.832401692,0.43187224,2.512461172,-2.183117156,0.407571515,0.146445537,0.445982948,3
icr016052,Ajumako,5.447667,-0.717422,10,8.905119025,2.499353284,0.44873572,2.83902781,-1.717353173,0.497845719,0.033993882,0.4681604,1
icr016053,Ajumako,5.447667,-0.717422,35,10.81445878,2.648990884,0.47407812,3.02264828,-1.72056193,0.499670554,0.006379357,0.493950089,1
icr020848,Kidatu,-8.074033,37.269382,10,1.724376595,3.509975018,0.850251,-0.002436039,-1.417832599,0.515729797,0.427751004,0.0565192,1
icr020849,Kidatu,-8.074033,37.269382,35,1.11223528,3.703848078,0.70373688,-0.49685203,-1.660723043,0.464275989,0.535724071,0,2
icr020868,Kidatu,-8.041908,37.271683,10,0.904182435,3.485895186,0.57711924,-0.600311174,-1.798431258,0.434572208,0.56542945,0,2
icr020869,Kidatu,-8.041908,37.271683,35,0.86376603,3.266494792,0.6319424,-0.678444762,-1.642674509,0.455016571,0.544989065,0,2
icr020888,Kidatu,-8.02105,37.270351,10,3.41107656,3.17127376,2.10724752,0.369693313,-0.408750721,0.706894804,0.23534838,0.057756817,1
icr020889,Kidatu,-8.02105,37.270351,35,4.666441465,3.165200156,1.4291496,1.047665126,-0.795136712,0.644496505,0.183706029,0.171797466,1
icr020908,Kidatu,-8.000807,37.272369,10,5.978245735,3.253939318,4.41812392,0.607115217,0.305848793,0.841928065,0.103082678,0.054989257,1
icr020909,Kidatu,-8.000807,37.272369,35,5.83813931,3.01369286,4.130946,0.671434428,0.315340246,0.844526776,0.091983641,0.063489583,1
icr020927,Kidatu,-8.074083,37.293674,10,2.053300755,3.094595916,1.35340548,0.004410609,-0.827033343,0.624875532,0.347334535,0.027789933,1
icr020928,Kidatu,-8.074083,37.293674,35,2.159150545,2.981308688,1.41415984,0.067021195,-0.745826759,0.640689644,0.326861922,0.032448434,1
icr020947,Kidatu,-8.047615,37.295681,10,3.00608113,3.601300108,2.8022898,-0.073638153,-0.250858053,0.725520736,0.274481824,0,1
icr020948,Kidatu,-8.047615,37.295681,35,2.069248135,3.356212036,1.72225872,-0.200052642,-0.667176329,0.648280603,0.351721262,0,1
icr020970,Kidatu,-8.023812,37.292297,10,5.70194415,2.822430118,7.21541264,0.311864501,0.938621125,0.94784553,0.052158296,0,1
icr020971,Kidatu,-8.023812,37.292297,35,5.94277982,2.787902386,7.50989672,0.34856188,0.990932233,0.958953612,0.041049685,0,1
icr020986,Kidatu,-8.001733,37.295639,10,3.55653027,3.319372326,4.16205784,-0.058809653,0.226233918,0.805272131,0.194735081,0,1
icr020987,Kidatu,-8.001733,37.295639,35,3.838991625,3.037740698,4.37098436,0.069544789,0.36387419,0.836642542,0.163362334,0,1
icr021004,Kidatu,-8.067685,37.316586,10,4.949412985,2.67924099,4.69015032,0.445026524,0.559931091,0.886695405,0.093704984,0.019599611,1
icr021005,Kidatu,-8.067685,37.316586,35,5.05335438,2.929095356,4.6993302,0.411993935,0.472726365,0.870163455,0.110465767,0.019370779,1
icr021023,Kidatu,-8.042358,37.313545,10,4.8080217,2.852938982,1.73697888,1.026716272,-0.496202356,0.699401017,0.146745452,0.153853531,1
icr021024,Kidatu,-8.042358,37.313545,35,4.579259935,2.956374814,1.23569812,1.164983277,-0.872327703,0.631792174,0.176157428,0.192050398,1
icr021043,Kidatu,-8.025553,37.317062,10,1.120454605,3.714007106,0.59185288,-0.373430125,-1.836608565,0.433544275,0.540675776,0.025779949,2
icr021044,Kidatu,-8.025553,37.317062,35,1.10494181,3.881754102,0.69818312,-0.531618622,-1.715561001,0.452880936,0.547119569,0,2
icr021063,Kidatu,-8.005145,37.314617,10,2.776941465,2.685094038,1.6369438,0.374769028,-0.494884784,0.691062137,0.246144784,0.06279308,1
icr021064,Kidatu,-8.005145,37.314617,35,2.29143444,3.349852308,1.454829,0.049700936,-0.83402789,0.624180601,0.341356716,0.034462683,1
icr021083,Kidatu,-8.070755,37.330627,10,0.80723219,3.16729007,0.1972124,0.028206493,-2.776350313,0.265364446,0.605580379,0.129055174,2
icr021084,Kidatu,-8.070755,37.330627,35,0.86357708,3.502339694,0.20531388,0.024293252,-2.836646578,0.254182849,0.614278557,0.131538594,2
icr021103,Kidatu,-8.049305,37.333698,10,2.16219264,3.658988306,1.28258156,-0.002543963,-1.048311799,0.583938203,0.378124337,0.03793746,1
icr021104,Kidatu,-8.049305,37.333698,35,1.68603864,3.602871722,0.92188372,-0.103754328,-1.363067409,0.524505169,0.435868624,0.039626207,1
icr021123,Kidatu,-8.023548,37.337498,10,1.592527285,3.771403888,1.0283892,-0.283197685,-1.299453622,0.533885482,0.454730056,0.011384462,1
icr021124,Kidatu,-8.023548,37.337498,35,1.705065905,3.793220282,1.14137856,-0.265496403,-1.200978542,0.552296008,0.438796816,0.008907176,1
icr021141,Kidatu,-8.004462,37.32851,10,1.471826025,3.225291222,0.7317618,-0.057143581,-1.483323475,0.502920681,0.444905209,0.05217411,1
icr021142,Kidatu,-8.004462,37.32851,35,1.34846057,3.183567386,0.66775876,-0.104164555,-1.561830696,0.487810063,0.462634069,0.049555868,1
icr023116,Macassangila,-13.444722,35.462303,10,2.207106055,3.14464086,0.5518038,0.688151601,-1.74026242,0.465303236,0.365589581,0.169107182,1
icr023117,Macassangila,-13.444722,35.462303,35,2.536256955,3.351443296,0.62241204,0.750760389,-1.68354405,0.476597046,0.348407104,0.17499585,1
icr023136,Macassangila,-13.424777,35.46136,10,4.980892055,3.933206266,2.3565736,0.656369579,-0.512246237,0.691564315,0.205466433,0.102969252,1
icr023137,Macassangila,-13.424777,35.46136,35,5.41515584,4.103893868,2.6292066,0.666523296,-0.445254119,0.704064048,0.194915553,0.101020399,1
icr023155,Macassangila,-13.397517,35.463245,10,6.91511652,3.395256868,5.04577968,0.68432535,0.396172768,0.859617341,0.079155304,0.061227355,1
icr023156,Macassangila,-13.397517,35.463245,35,8.69351392,3.593817454,4.34337732,1.051524812,0.189437235,0.826289772,0.050844248,0.12286598,1
icr023175,Macassangila,-13.373618,35.459798,10,9.450542095,2.08751357,0.38017644,3.148860232,-1.703093497,0.494066654,0,0.505934964,3
icr023176,Macassangila,-13.373618,35.459798,35,11.3090543,2.427597404,0.3449532,3.352434545,-1.951248569,0.452484325,0,0.547517054,3
icr023195,Macassangila,-13.434472,35.481447,10,4.501828225,2.95526409,1.336879,1.090027575,-0.793250225,0.645402381,0.176982284,0.177615334,1
icr023213,Macassangila,-13.414135,35.487403,10,7.723123405,2.719275614,0.58956128,2.410965881,-1.528742138,0.527026507,0.074035806,0.398937687,1
icr023214,Macassangila,-13.414135,35.487403,35,11.56986198,2.73917815,0.45431644,3.118740409,-1.796619249,0.486896073,0.001920447,0.51118348,3
icr023233,Macassangila,-13.400288,35.487782,10,6.88768098,3.38966658,0.7966006,1.910759463,-1.448133418,0.535321459,0.139606385,0.325072156,1
icr023234,Macassangila,-13.400288,35.487782,35,9.320015435,2.940167198,0.62873416,2.566605914,-1.542513201,0.526533319,0.052113913,0.421352768,1
icr023253,Macassangila,-13.372998,35.477417,10,6.1404971,2.90090979,0.38355992,2.348697611,-2.023283834,0.434919392,0.149985505,0.415095103,1
icr023254,Macassangila,-13.372998,35.477417,35,3.71887611,2.624923736,0.35428136,1.799636693,-2.002715722,0.431488341,0.2310841,0.337427559,1
icr023273,Macassangila,-13.438727,35.509765,10,7.8425587,2.886504792,0.20507124,3.095654523,-2.644444204,0.330092206,0.119347278,0.550560516,3
icr023274,Macassangila,-13.438727,35.509765,35,11.82502006,2.595621412,0.19807512,3.73714549,-2.572934879,0.351736556,0.011761099,0.636502344,3
icr023293,Macassangila,-13.417607,35.511175,10,5.904668605,2.525777818,1.1280064,1.669657177,-0.806097235,0.65066107,0.090177437,0.259161493,1
icr023294,Macassangila,-13.417607,35.511175,35,8.82577892,2.765707486,0.88946432,2.30346209,-1.134432359,0.598396974,0.037482174,0.364120852,1
icr023313,Macassangila,-13.399045,35.500348,10,11.15039298,2.549889826,0.27639392,3.448551677,-2.221978337,0.412720622,0.008690855,0.578588523,3
icr023314,Macassangila,-13.399045,35.500348,35,13.45327779,2.573510094,0.2127144,3.867319768,-2.49307562,0.355220714,0,0.644781286,3
icr023333,Macassangila,-13.370752,35.504402,10,9.25465763,1.756719802,0.2989864,3.396108517,-1.770805513,0.465096572,0,0.534908087,3
icr023334,Macassangila,-13.370752,35.504402,35,11.90205498,2.34238691,0.25051232,3.657665911,-2.235417635,0.398237631,0,0.601764644,3
icr023353,Macassangila,-13.444412,35.527352,10,7.20866924,3.48901917,4.5881876,0.784975321,0.273864431,0.838365385,0.080213822,0.081420793,1
icr023354,Macassangila,-13.444412,35.527352,35,7.09439228,3.009811638,2.9891226,1.147834605,-0.006897599,0.791316135,0.062510737,0.146173128,1
icr023373,Macassangila,-13.418417,35.521103,10,5.76093434,3.519710602,1.08828084,1.43948089,-1.173779531,0.579760622,0.174729986,0.245509392,1
icr023374,Macassangila,-13.418417,35.521103,35,7.91912124,2.913167014,1.03541228,2.02301333,-1.034441125,0.613162585,0.066883732,0.319953683,1
icr023393,Macassangila,-13.40278,35.523077,10,8.03948239,2.623266208,0.45081164,2.667343263,-1.761125862,0.487505702,0.066097059,0.446397239,1
icr023394,Macassangila,-13.40278,35.523077,35,10.36188574,2.836512324,0.37714344,3.072548617,-2.017704929,0.445477819,0.038677318,0.515844864,3
icr023413,Macassangila,-13.37711,35.529993,10,10.31436481,1.681097686,0.86618436,2.860857115,-0.663104471,0.61637642,0,0.383635354,1
icr023414,Macassangila,-13.37711,35.529993,35,10.95840089,1.653641632,0.75260188,3.046301153,-0.787198808,0.587892775,0,0.412120235,1
icr023433,Chica_b,-14.750668,39.839635,10,4.19744867,3.643958306,4.16118164,0.100056095,0.132728545,0.800544427,0.199457078,0,1
icr023434,Chica_b,-14.750668,39.839635,35,5.46779731,3.607523648,4.50748284,0.405994176,0.222717302,0.823935314,0.144969537,0.03109515,1
icr023453,Chica_b,-14.726465,39.840907,10,9.35105992,6.051292762,1.72965924,1.415188698,-1.252347511,0.564937985,0.188995488,0.246066528,1
icr023454,Chica_b,-14.726465,39.840907,35,8.69468541,5.838307628,1.61621156,1.3872654,-1.284356098,0.558661945,0.197560586,0.243777469,1
icr023473,Chica_b,-14.708328,39.836117,10,5.11242015,3.910338866,2.8637586,0.565057874,-0.311489079,0.727420062,0.192442437,0.080137501,1
icr023474,Chica_b,-14.708328,39.836117,35,4.999862635,3.484159162,2.58886096,0.679584094,-0.297008746,0.731600584,0.173004712,0.095394704,1
icr023493,Chica_b,-14.688842,39.843533,10,3.7816453,3.499550872,0.63467884,1.241546595,-1.70727081,0.478677927,0.27663355,0.244688523,1
icr023494,Chica_b,-14.688842,39.843533,35,4.25681676,3.450333916,0.62158976,1.422698149,-1.713945967,0.4798304,0.249861812,0.270307789,1
icr023513,Chica_b,-14.75414,39.857582,10,2.231745135,4.275755926,0.88373532,0.184136309,-1.576558584,0.488886572,0.420578529,0.090534898,1
icr023514,Chica_b,-14.75414,39.857582,35,1.83164351,4.0869183,0.70151268,0.104768269,-1.762307518,0.453554402,0.45765533,0.088790268,2
icr023533,Chica_b,-14.723602,39.863178,10,2.387250985,3.987904648,1.40705588,0.010346361,-1.041766449,0.585316095,0.375276177,0.039407729,1
icr023534,Chica_b,-14.723602,39.863178,35,2.91538513,3.974478352,1.61615764,0.1867059,-0.899842002,0.61383548,0.32927279,0.056891729,1
icr023553,Chica_b,-14.700968,39.861442,10,3.08211461,3.702735074,1.01341292,0.619224218,-1.295747993,0.546448789,0.316399184,0.137152027,1
icr023554,Chica_b,-14.700968,39.861442,35,3.98487992,3.549456142,1.07648584,0.949678721,-1.193092508,0.569747991,0.252135401,0.178116608,1
icr023573,Chica_b,-14.68552,39.864718,10,4.57746491,3.496873696,1.7404702,0.824177345,-0.697714033,0.659537808,0.204752621,0.135709571,1
icr023574,Chica_b,-14.68552,39.864718,35,5.111985565,3.579087456,1.8798534,0.904582749,-0.643914072,0.67052718,0.185244018,0.144228802,1
icr023593,Chica_b,-14.7512,39.8859,10,5.30673633,4.033336984,2.05060456,0.816816875,-0.676459412,0.663364306,0.203021391,0.133614303,1
icr023594,Chica_b,-14.7512,39.8859,35,5.57319362,4.266489394,1.83999304,0.916922253,-0.841029544,0.634304078,0.209840736,0.155855186,1
icr023613,Chica_b,-14.729127,39.879383,10,6.38148393,4.623205754,2.35774636,0.878671161,-0.67338212,0.664746579,0.193160547,0.142092874,1
icr023614,Chica_b,-14.729127,39.879383,35,6.166628885,4.776595506,2.3358144,0.817477312,-0.715367446,0.656190968,0.208147605,0.135661427,1
icr023633,Chica_b,-14.701545,39.883627,10,6.892763735,4.882628428,4.50027104,0.514081961,-0.081546061,0.769194198,0.169336715,0.061469087,1
icr023634,Chica_b,-14.701545,39.883627,35,7.725466385,4.72385884,5.06202308,0.609768101,0.069140205,0.79826896,0.134478023,0.067253017,1
icr023652,Chica_b,-14.681088,39.886058,10,8.3005735,5.136018732,2.60296104,1.093147564,-0.679628555,0.666416871,0.161241281,0.172341848,1
icr023653,Chica_b,-14.681088,39.886058,35,7.854065755,4.981373202,2.42459368,1.087128736,-0.720041641,0.658877791,0.167589861,0.173532349,1
icr023672,Chica_b,-14.749168,39.909052,10,7.04919544,4.820875142,3.95474892,0.638636257,-0.198038361,0.749330495,0.16596281,0.084706695,1
icr023673,Chica_b,-14.749168,39.909052,35,7.85831713,4.73117662,4.2361574,0.750209628,-0.110517344,0.766954723,0.137163467,0.09588181,1
icr023692,Chica_b,-14.725693,39.907882,10,7.1555365,3.859140776,6.694842,0.455993896,0.550892817,0.885171402,0.093244107,0.021584491,1
icr023693,Chica_b,-14.725693,39.907882,35,7.1241708,3.59838424,6.5838342,0.507922985,0.604132358,0.89568247,0.078160175,0.026157355,1
icr023712,Chica_b,-14.704728,39.913418,10,7.986179595,4.662811294,4.93850584,0.679162415,0.057444276,0.7970235,0.125450243,0.077526257,1
icr023713,Chica_b,-14.704728,39.913418,35,8.042184375,4.248248178,5.2057064,0.715426238,0.203248704,0.824414902,0.100323374,0.075261724,1
icr023731,Chica_b,-14.68274,39.90612,10,5.579107755,3.506362606,6.10187028,0.249922129,0.554016122,0.880185368,0.11981619,0,1
icr023732,Chica_b,-14.68274,39.90612,35,5.589122105,3.642100114,5.7659352,0.264744416,0.459406891,0.865567495,0.134432614,0,1
icr024868,Itende,-6.928433,34.172421,10,3.94425567,3.172968488,4.13241532,0.113993919,0.264194478,0.823184433,0.176818061,0,1
icr024869,Itende,-6.928433,34.172421,35,4.70251202,3.014514658,4.01395308,0.401985516,0.28633772,0.835626234,0.137034742,0.027339023,1
icr024879,Itende,-6.897945,34.17971,10,4.009726845,3.159234362,2.23901452,0.54738714,-0.344293885,0.721132011,0.199548559,0.07931943,1
icr024880,Itende,-6.897945,34.17971,35,5.249805695,2.808939932,2.04844776,1.044328434,-0.315724848,0.732947195,0.119809235,0.14724357,1
icr024899,Itende,-6.881358,34.177681,10,3.95071776,2.927134488,3.55412332,0.270441444,0.194084474,0.816865595,0.169520096,0.013614309,1
icr024900,Itende,-6.881358,34.177681,35,4.052656285,2.917939816,3.57877824,0.30189719,0.204143644,0.819136493,0.16336425,0.017499257,1
icr024917,Itende,-6.86511,34.181694,10,5.422846105,3.265164038,3.73282768,0.587177025,0.133856035,0.809917468,0.129234285,0.060848248,1
icr024918,Itende,-6.86511,34.181694,35,10.80877138,4.334627206,6.615984,0.936394526,0.422852929,0.867860414,0.037070725,0.09506886,1
icr024937,Itende,-6.929987,34.194763,10,2.377350005,3.249994604,1.59031648,0.059590981,-0.714720296,0.646333775,0.323817802,0.029848423,1
icr024938,Itende,-6.929987,34.194763,35,2.327467205,3.116246656,1.57225328,0.066948131,-0.684119482,0.652079225,0.318583038,0.029337737,1
icr024956,Itende,-6.910065,34.192478,10,5.00585235,3.060419556,3.5275138,0.561380042,0.1420413,0.8110888,0.132074787,0.056836413,1
icr024957,Itende,-6.910065,34.192478,35,6.048346185,2.868089468,3.43190016,0.875206364,0.179467973,0.822128529,0.079113882,0.098757589,1
icr024976,Itende,-6.879183,34.193073,10,1.842886035,2.836470356,1.03062688,0.099958663,-1.012393208,0.591917737,0.357642941,0.050439322,1
icr024977,Itende,-6.879183,34.193073,35,1.79982433,3.02115029,0.9493964,0.081112898,-1.157566514,0.564872121,0.380024644,0.055103235,1
icr024994,Itende,-6.859828,34.194527,10,5.154348155,2.850053794,3.71197412,0.613853072,0.264225974,0.834333607,0.107645363,0.05802103,1
icr024995,Itende,-6.859828,34.194527,35,6.801576465,2.629119108,3.87740068,1.00832999,0.388516151,0.862469133,0.030696495,0.106834372,1
icr025009,Itende,-6.927495,34.223148,10,3.991134165,3.417721094,2.72898556,0.356831301,-0.225044032,0.7406359,0.212632867,0.046731233,1
icr025010,Itende,-6.927495,34.223148,35,3.810384595,3.364883212,2.84631548,0.277361104,-0.167367912,0.750236204,0.217022412,0.032741384,1
icr025016,Itende,-6.904168,34.215706,10,2.14235289,3.551203436,0.50560784,0.625677867,-1.949280472,0.425898213,0.403212082,0.170889705,1
icr025017,Itende,-6.904168,34.215706,35,2.457049115,3.037677842,0.45761904,0.979031361,-1.892811587,0.44097327,0.341655703,0.217371026,1
icr025036,Itende,-6.878633,34.223396,10,3.326974915,3.347499536,3.05575424,0.052591203,-0.091187211,0.760384439,0.239616083,0,1
icr025037,Itende,-6.878633,34.223396,35,3.187378655,3.180353234,2.8893706,0.066911145,-0.095953578,0.760562778,0.239437269,0,1
icr025055,Itende,-6.853913,34.212799,10,3.394127745,3.035287344,3.48679072,0.056537176,0.138675652,0.798593094,0.201409764,0,1
icr025056,Itende,-6.853913,34.212799,35,3.53669052,3.035251266,3.46956328,0.114706584,0.13373452,0.801697865,0.198303216,0,1
icr025074,Itende,-6.918945,34.236652,10,4.033345595,3.238074558,3.61076628,0.220195674,0.108941135,0.800487565,0.188633028,0.010879406,1
icr025075,Itende,-6.918945,34.236652,35,5.37097933,3.270186266,3.38849456,0.63785856,0.035538795,0.792436254,0.134701746,0.072862,1
icr025092,Itende,-6.89882,34.240738,10,3.982820365,3.20478672,3.50481348,0.230131706,0.089491762,0.797028202,0.18972835,0.013243448,1
icr025093,Itende,-6.89882,34.240738,35,4.213452735,3.434031144,3.40344388,0.278694814,-0.008947007,0.779496669,0.1955357,0.024967631,1
icr025111,Itende,-6.877308,34.24556,10,3.869790475,3.458330478,2.71220296,0.311902382,-0.243024747,0.736725406,0.22191078,0.041363813,1
icr025112,Itende,-6.877308,34.24556,35,3.992910295,3.486823726,2.3059562,0.456369388,-0.413495787,0.707159897,0.222747227,0.070092876,1
icr025135,Itende,-6.85162,34.243313,10,6.215189035,2.98963547,6.8514796,0.422917459,0.829313165,0.93612959,0.060891805,0.002978604,1
icr025136,Itende,-6.85162,34.243313,35,6.988599175,3.44373138,7.54743852,0.42053096,0.78465265,0.927854293,0.067256214,0.004889493,1
icr030024,Dambidolo,8.576895,34.979774,10,10.31058581,2.731066464,0.64593464,2.73247134,-1.441749136,0.547316769,0.013243042,0.439440189,1
icr030025,Dambidolo,8.576895,34.979774,35,12.37756655,2.1098,0.57426148,3.226565773,-1.301263603,0.523950483,0,0.476058121,1
icr030043,Dambidolo,8.60079,34.985012,10,10.96463624,3.410096802,0.9108436,2.437329207,-1.320124755,0.565882221,0.041982522,0.392135257,1
icr030044,Dambidolo,8.60079,34.985012,35,10.58025525,2.592543278,0.755217,2.697393269,-1.233389508,0.578853993,0,0.421147004,1
icr030063,Dambidolo,8.629852,34.983757,10,7.009874945,4.094377368,0.90104364,1.726151101,-1.513816246,0.520766924,0.176627015,0.302606061,1
icr030064,Dambidolo,8.629852,34.983757,35,9.07175403,3.179070322,0.81357192,2.306708942,-1.362909751,0.556265084,0.06768098,0.376053936,1
icr030083,Dambidolo,8.65488,34.98785,10,10.97946881,3.411486216,0.68308552,2.630694195,-1.608283252,0.515236472,0.05116113,0.433602398,1
icr030084,Dambidolo,8.65488,34.98785,35,11.21816935,2.752026972,0.61021264,2.87778635,-1.506285513,0.537122998,0,0.462877032,1
icr030103,Dambidolo,8.581855,34.998875,10,8.640324495,5.356406344,2.68293788,1.098449713,-0.691380874,0.664317307,0.162010309,0.173672383,1
icr030104,Dambidolo,8.581855,34.998875,35,8.627362525,5.075413132,2.84627504,1.092972413,-0.578396791,0.685100932,0.147668085,0.167230983,1
icr030123,Dambidolo,8.599288,35.000599,10,8.801574425,3.65840845,3.79244972,1.146547238,0.035983971,0.799214696,0.056946455,0.14383885,1
icr030124,Dambidolo,8.599288,35.000599,35,8.9626543,3.386064742,3.5804902,1.260643148,0.055831314,0.80438025,0.036853425,0.158766325,1
icr030143,Dambidolo,8.627145,35.007782,10,6.67084196,3.003453494,1.106034,1.72996582,-0.998982147,0.615850343,0.106879148,0.277270509,1
icr030144,Dambidolo,8.627145,35.007782,35,7.931950945,2.405528138,1.17622436,2.06781264,-0.715459866,0.67263305,0.017187795,0.310179155,1
icr030163,Dambidolo,8.644138,34.998833,10,7.39236643,3.116446816,0.72917364,2.120030455,-1.452536898,0.537263418,0.108234586,0.354501996,1
icr030164,Dambidolo,8.644138,34.998833,35,8.84830176,2.715064244,0.65252636,2.525692816,-1.425719358,0.547553718,0.042672218,0.409774064,1
icr030183,Dambidolo,8.578802,35.022572,10,9.126039365,5.183073044,2.59539876,1.21541686,-0.691657963,0.66580589,0.144182346,0.190011764,1
icr030184,Dambidolo,8.578802,35.022572,35,9.40789608,5.565899352,2.67458028,1.188431764,-0.732866117,0.657844052,0.15384006,0.188315888,1
icr030200,Dambidolo,8.603598,35.024567,10,12.4344405,2.309990988,0.79203088,2.957900959,-1.070398521,0.569923628,0,0.430083913,1
icr030201,Dambidolo,8.603598,35.024567,35,11.75093277,3.393738626,0.80646796,2.614016133,-1.437023263,0.546629799,0.030700617,0.422669584,1
icr030218,Dambidolo,8.61844,35.029861,10,8.993509835,3.185539138,3.24855868,1.370782275,0.019589866,0.79914029,0.024899972,0.175959738,1
icr030219,Dambidolo,8.61844,35.029861,35,11.00605408,2.759751936,3.19272452,1.747250368,0.145733836,0.793287475,0,0.206717782,1
icr030238,Dambidolo,8.641408,35.024132,10,10.7769522,3.149903652,0.80424376,2.550200402,-1.365224737,0.559043029,0.030801878,0.410155093,1
icr030239,Dambidolo,8.641408,35.024132,35,12.35661199,2.499304232,0.78634232,2.901822187,-1.156375446,0.567156628,0,0.432848779,1
icr030258,Dambidolo,8.577478,35.045807,10,7.24778189,4.164232838,3.54684412,0.845867105,-0.160473838,0.75899247,0.129264438,0.111743092,1
icr030259,Dambidolo,8.577478,35.045807,35,7.826101155,4.622687198,4.57689136,0.708621795,-0.009956155,0.784969855,0.1300056,0.085024545,1
icr030276,Dambidolo,8.60308,35.048473,10,9.313553345,6.40764916,1.27818708,1.573337459,-1.612049728,0.500622405,0.213164428,0.286213168,1
icr030277,Dambidolo,8.60308,35.048473,35,9.28039262,5.222041472,1.39918356,1.644686934,-1.316999517,0.556024939,0.162628312,0.281346749,1
icr030296,Dambidolo,8.629188,35.051384,10,7.52236403,4.241355448,1.75641704,1.351734699,-0.881606938,0.632537675,0.148880228,0.218582097,1
icr030297,Dambidolo,8.629188,35.051384,35,8.47508772,4.02519602,1.78779848,1.533802289,-0.811588647,0.647859046,0.111665221,0.240475733,1
icr030316,Dambidolo,8.646072,35.053028,10,9.095353885,5.765662372,3.2889852,0.982018888,-0.561340975,0.686788696,0.162323414,0.15088789,1
icr030317,Dambidolo,8.646072,35.053028,35,8.98136035,5.548586632,3.16633068,1.016124052,-0.560969831,0.687306159,0.157064439,0.155629402,1
