SSN,Al,B,Cu,Fe,Mn,Zn
icr024869,693,0.09,0.48,62,53,1.82
icr024879,711,0.09,1.02,60,129,2.38
icr024880,971,0.1,1.3,62,111,1.64
icr024899,554,0.13,0.41,54,83,1.75
icr024900,644,0.07,0.36,49,66,1.77
icr024917,352,0.05,0.42,113,18,2.56
icr024918,339,0.01,0.34,97,11,2.94
icr024937,396,0.07,0.47,75,49,2.42
icr024938,375,0.02,0.33,68,24,2.08
icr024956,675,0.14,0.91,56,148,2.23
icr024957,989,0.08,0.63,66,100,2.79
icr024976,457,0.25,0.81,45,78,1.13
icr024977,471,0.04,0.62,43,39,1.13
icr024994,766,0.09,0.74,52,112,2.6
icr024995,774,0.06,0.5,43,57,2.04
icr025009,458,0.01,0.44,127,53,1.88
icr025010,537,0.01,0.41,131,55,2.15
icr025016,495,0.04,0.65,153,23,1.11
icr025017,613,0.01,0.67,164,6,0.49
icr025036,407,0.06,0.67,61,132,2.95
icr025037,408,0.03,0.7,50,96,0.87
icr025055,383,0.08,0.32,54,113,1.05
icr025056,416,0.01,0.22,44,70,1.91
icr025074,583,0.12,0.99,72,194,3.37
icr025075,763,0.1,0.81,62,130,0.75
icr025092,400,0.06,0.38,58,67,2.25
icr025093,455,0.11,0.2,62,46,0.94
icr025111,525,0.11,0.47,68,71,2.74
icr025112,620,0.03,0.37,62,51,2.33
icr025135,461,0.09,0.43,55,127,1.03
icr025136,446,0.11,0.39,51,112,2.12
icr030024,1287,0.318,2.796,99.78,194,1.025
icr030025,1773,0.107,1.88,70.79,123.7,0.266
icr030043,994.9,0.522,1.729,87.97,202,2.203
icr030044,1705,0.192,2.041,67.64,105.9,0.636
icr030063,704.2,1.027,1.996,204.7,136.3,10.76
icr030064,865.8,0.673,2.873,243.9,134.4,5.927
icr030083,970.1,0.463,1.889,73.26,236.5,1.993
icr030084,1447,0.242,2.093,69.32,122.6,0.459
icr030103,1045,0.173,1.38,103.4,56.38,0.791
icr030104,1030,0.084,0.926,86.87,37.85,0.569
icr030123,1066,0.266,1.324,107.9,135.1,1.15
icr030124,1414,0.093,1.08,107,119.6,0.652
icr030143,1189,0.402,1.228,159.5,246.8,1.128
icr030144,1417,0.141,1.349,110.8,136.5,0.579
icr030163,850.5,0.217,2.736,338.6,79.8,1.147
icr030164,1008,0.109,2.627,229.5,70.53,0.359
icr030183,1125,0.245,3.459,115.1,120.8,0.482
icr030184,1140,0.391,3.847,113.1,133,0.902
icr030200,1752,0.161,1.9,43.07,95.92,0.395
icr030201,1123,0.402,1.977,59.79,179.2,1.005
icr030218,1109,0.29,2.379,92.73,138.6,0.581
icr030219,1523,0.064,2.419,92.24,91.96,0.469
icr030238,1032,0.683,2.922,68.51,286.9,1.335
icr030239,1553,0.314,2.647,58.83,161.8,0.323
icr030258,1099,0.132,0.846,103.3,74.62,0.437
icr030259,957.5,0.111,0.564,107.2,58.18,0.518
icr030276,1426,0.275,3.891,121,87.09,0.933
icr030277,1465,0.105,2.89,98.99,48.07,0.381
icr030296,843.1,0.642,3.214,164.9,194.1,1.834
icr030297,1079,0.368,4.102,178.7,180,1.491
icr030316,895.7,0.223,3.33,261.1,160.1,1.616
icr030317,948.5,0.163,2.005,125.1,39.05,1.64
icr030335,306.7,1.502,3.228,22.63,173.6,1.413
icr030336,373.1,1.077,5.865,90.45,199,1.161
icr030352,134.9,1.376,1.941,14.96,46.74,0.657
icr030353,41.45,0.308,0.992,7.46,27.62,0.721
icr030367,35.57,0.933,1.215,59,127.6,1.174
icr030368,12.16,0.225,0.465,18.89,68.73,0.467
icr030376,5.54,0.522,0.162,7.519,9.986,0.503
icr030377,1.672,0.162,0.07,8.485,8.151,0.492
icr030387,358.4,1.227,3.108,27.63,112.6,1.159
icr030388,337.6,1.22,3.106,24.81,112.3,0.964
icr030400,340,1.218,3.059,25.44,126,0.881
icr030401,263.4,1.075,2.664,18.82,78.54,0.673
icr030416,197.8,1.565,2.746,21.22,99.41,0.849
icr030430,202.1,1.624,4.916,144.4,129.4,2.14
icr030431,212.4,1.406,2.833,31.59,106.4,1.748
icr030438,471,1.088,6.036,117.3,242.1,1.666
icr030439,330.4,0.987,3.219,31.37,142.4,1.187
icr030458,357.7,1.272,2.925,32.11,133.4,1.315
icr030459,274.7,1.41,2.438,23.23,144.5,0.785
icr030478,92.19,2.306,3.978,71.25,130.6,5.277
icr030479,47.88,1.061,1.333,7.045,19.3,1.461
icr030494,47.39,0.885,1.272,9.438,18.53,1.355
icr030495,297.5,0.88,2.552,30.66,78.5,0.839
icr030511,269.1,1.62,4.927,182.1,85.2,1.853
icr030512,216.1,1.377,3.573,68.77,63.23,1.658
icr030531,437.5,1.165,2.483,26.22,140.2,1.114
icr030532,19.36,3.878,2.984,35.31,127.9,16.99
icr030551,392.4,1.15,2.492,23.73,139.7,0.824
icr030552,313.4,1.059,2.594,27.4,96.29,0.636
icr030571,322.4,1.041,2.222,21.55,120.9,0.756
icr030572,308.3,0.974,2.287,25.8,95.76,0.909
icr033351,759.686,3.637,2.224,26.67,225,0.826
icr033352,719.686,9.845,2.182,27.76,227.6,0.822
icr033371,796.486,2.907,2.334,40.65,216.1,0.787
icr033372,666.486,10.95,2.323,34.72,237,0.931
icr033389,633.686,2.223,2.355,39.54,175.1,0.727
icr033390,632.686,2.913,2.705,34.38,176,0.738
icr033392,529.186,0.68,0.786,30.19,210.9,1.99
icr033393,403.786,0.853,0.805,18.14,193.7,0.783
icr033407,746.186,3.334,1.997,25.95,240.2,0.941
icr033408,676.986,23.55,1.945,27.84,231.7,1.364
icr033427,900.386,4.538,2.259,27.08,214.3,0.866
icr033428,709.886,55.09,2.417,28.7,230.3,0.758
icr033445,696.686,2.756,2.479,34.75,249.3,1.298
icr033446,596.386,8.297,2.616,30.51,223.6,0.656
icr033447,909.886,3.319,1.269,41.93,324.4,2.545
icr033448,709.786,2.634,1.66,38.88,390.2,1.851
icr033466,507.086,1.874,1.53,52.18,230.8,0.713
icr033467,366.586,9.563,1.27,54.47,234.4,0.52
icr033486,787.486,5.574,2.502,27.3,257.1,1.126
icr033487,695.586,18.48,2.408,27.97,275.3,0.822
icr033506,685.686,1.972,1.741,51.38,303.8,1.306
icr033507,650.586,1.891,1.98,45.54,387.6,1.045
icr033525,443.586,1.322,1.101,35.84,309.4,0.952
icr033526,443.886,3.071,0.99,37.4,324,0.622
icr033545,735.486,3.172,2.107,30.96,339.8,1.62
icr033546,742.486,2.474,1.577,29.66,296,1.535
icr033566,736.586,0.892,0.708,53.98,369.7,0.58
icr033567,772.186,0.919,0.858,72.34,364.3,1.021
icr033580,579.386,2.688,0.619,49.85,286.9,5.525
icr033581,629.486,2.321,0.733,39.95,318,2.514
icr033582,628.886,2.832,5.724,206.5,328.1,3.163
icr033583,625.886,1.759,4.373,184.6,364.4,2.831
icr033602,509.286,1.656,3.525,25.58,242.4,1.29
icr033603,543.886,1.588,3.383,24.07,248.9,1.136
icr033621,191.686,1.223,2.585,33.78,102.1,1.046
icr033622,108.286,1.303,2.701,25.63,66.65,1.539
icr033637,446.086,2.439,2.666,37.75,202.7,2.731
icr033638,248.386,2.842,3.04,25.17,102.4,1.017
icr033656,716.186,1.293,4.126,50.86,206.1,0.643
icr033657,459.686,1.08,3.771,35.58,136.7,0.927
icr033676,567.686,2.122,3.833,26.38,249.3,1.272
icr033677,391.386,1.629,3.579,23.61,190.3,0.765
icr033696,647.986,2.547,3.4,31.68,71.72,1.145
icr033697,538.786,8.644,3.115,28.83,60.49,0.734
icr033714,587.386,1.385,3.259,49.72,172.9,1.072
icr033715,431.486,2.725,3.109,32.14,100,0.971
icr033732,605.186,1.656,2.625,56.92,104,1.632
icr033733,489.086,4.339,3.079,41.35,45.02,0.411
icr033752,804.786,1.228,4.244,38.97,243.7,0.876
icr033753,542.586,1.331,3.65,25.72,150.2,0.682
icr033771,797.786,0.976,4.341,45.09,222.8,0.655
icr033772,575.886,1.484,4.215,31.5,187.2,0.87
icr033791,651.286,1.627,3.568,54.11,159.5,1.987
icr033792,312.586,1.171,2.878,34.31,87.15,0.508
icr033811,695.186,1.51,4.227,49.84,159.9,0.64
icr033812,501.386,2.92,3.646,44.27,92,0.512
icr033831,420.886,2.508,2.983,23.17,89.12,0.755
icr033832,348.486,6.36,2.843,23.69,71.65,0.494
icr033851,810.986,1.258,4.587,40.17,227.2,0.954
icr033852,521.486,1.147,3.995,26.06,120.4,0.566
icr033871,198.086,1.152,2.647,26.27,35.25,0.822
icr033872,319.186,1.503,3.24,30.24,68.08,0.681
icr033890,535.286,1.697,3.367,31.8,188.9,0.784
icr033891,295.486,1.514,3.223,27.15,95,0.713
icr033910,314.8,0.096,0.347,221.5,50.1,0.953
icr033911,434.2,0.045,0.311,125.1,20.7,0.634
icr033930,345.8,0.042,0.745,204,29.49,0.699
icr033931,461.9,0.028,0.742,158.4,8.867,0.818
icr033950,423.2,0.361,1.414,212.2,102.1,1.575
icr033951,708.1,0.13,1.305,152.3,61.36,0.994
icr033970,445,0.088,0.557,208.9,130.7,0.853
icr033971,721.4,0.04,0.735,104.1,42.71,0.382
icr033990,407.6,0.05,0.802,248.3,34.31,0.579
icr033991,471.6,0.036,0.592,136.6,10.41,0.608
icr034010,280,0.081,0.414,89.16,118.8,0.709
icr034011,323.7,0.093,0.358,62.08,79.7,0.335
icr034030,458.5,0.123,0.857,222.9,105.1,0.51
icr034031,460.3,0.02,0.484,127.7,17.63,0.766
icr034050,376.6,0.171,0.636,91.45,168.9,0.73
icr034051,484.8,0.148,0.725,84.36,154.5,0.624
icr034070,333.8,0.153,0.446,88.83,171.8,0.636
icr034071,397.3,0.061,0.487,68.91,136.5,0.535
icr034090,300.8,0.09,0.471,65.52,113.5,0.573
icr034091,336.8,0.065,0.478,67.45,107.8,0.444
icr034110,296,0.046,0.406,218.9,10.55,0.558
icr034111,517.3,0.024,0.522,136.7,5.476,0.58
icr034130,308.7,0.15,0.514,165,139.3,0.647
icr034131,354.1,0.051,0.464,102.4,106.3,0.466
icr034150,331.1,0.107,0.502,85.84,119.8,0.531
icr034151,310.8,0.046,0.298,55.6,53.05,1.306
icr034170,298.1,0.118,0.346,72.79,102.2,0.512
icr034171,325,0.073,0.382,67.43,94.17,0.615
icr034190,503.1,0.192,0.51,82.47,109.3,0.641
icr034191,386.6,0.088,0.523,98.19,155.4,0.874
icr034210,497.6,0.169,0.529,80.08,107.4,0.49
icr034211,636.7,0.051,0.756,73.17,118.9,0.528
icr034262,562.641,0.218,0.914,126.1,187,0.968
icr034263,745.141,0.055,1.246,148.9,195.8,0.77
icr034282,509.141,0.036,0.971,78.01,146.4,1.058
icr034283,500.841,0.018,0.772,82.49,153.9,0.399
icr034302,436.941,0.136,1.079,75.13,166.1,3.03
icr034303,421.341,0.06,0.985,80.09,173.1,1.375
icr034322,357.041,0.055,0.863,70.21,125.1,0.713
icr034323,622.841,0.076,1.168,87.86,165.5,0.483
icr034342,540.441,0.075,0.782,102.2,151.6,1.094
icr034343,551.141,0.009,0.691,103.6,146.9,0.477
icr034362,508.841,0.234,1.028,108,186.3,1.264
icr034363,564.441,0.157,0.94,110.7,234.4,0.858
icr034382,328.441,0.007,0.282,67.02,55.61,0.277
icr034383,391.441,-0.026,0.318,64.97,32.59,0.48
icr034402,579.741,0.009,1.318,316.4,96.77,2.051
icr034403,484.941,-0.041,1.034,161.2,19.17,1.478
icr034422,445.141,0.049,0.876,86.19,127.6,0.564
icr034423,746.841,0.002,1.083,100.9,116,0.531
icr034441,574.641,0.057,1.25,93.71,212.1,0.62
icr034442,926.041,0.023,1.53,103.2,191.3,0.53
icr034461,321.741,0.063,0.779,98.83,51.42,0.664
icr034462,359.3,0.081,0.756,97.91,29.74,0.431
icr034481,451.2,0.069,0.963,86.87,106.1,0.518
icr034482,341.8,0.095,0.929,91.29,141.7,0.764
icr034501,497.7,0.187,1.017,83.02,165.8,0.857
icr034502,545.4,0.133,0.958,94.63,162.9,0.864
icr034521,543.1,0.068,0.755,74.57,54.74,0.808
icr034522,345.8,0.039,0.526,45.27,18.56,0.79
icr034541,366.4,0.063,0.859,160.4,20.5,0.501
icr034542,357.9,0.041,0.752,120.2,9.14,0.459
icr034561,335.2,0.097,1,67.58,100.3,1.252
icr034562,463.2,0.09,1.317,72.52,92.82,0.753
icr034613,961.241,0.194,1.114,194.7,23.59,1.041
icr034614,1142.94,0.137,1.337,227.9,12.57,0.779
icr034633,1221.94,0.134,0.698,249.2,8.844,0.788
icr034634,1455.94,0.117,0.7,207.4,5.641,0.816
icr034653,815.641,0.713,1.105,115,66.2,3.477
icr034654,904.841,0.276,1.02,107.7,31.12,1.44
icr034673,1033.94,0.156,1.215,165,23.46,0.895
icr034674,1271.94,0.1,1.783,129.9,7.442,1.011
icr034693,674.441,0.101,0.719,411.3,29.65,0.928
icr034694,876.941,0.075,0.858,421.1,6.968,1.43
icr034713,1291.94,0.249,1.924,190.6,27.23,0.993
icr034714,1450.94,0.133,1.915,150.2,15.47,0.751
icr034733,1099.94,0.293,0.945,159.2,18.78,1.052
icr034734,1352.94,0.193,1.12,138.1,7.592,0.858
icr034753,848.441,0.193,0.938,208.9,43.25,2.465
icr034754,1071.94,0.165,0.931,151.1,12.5,1.063
icr034773,876.741,0.167,1.086,232,9.804,1.519
icr034774,945.641,0.24,1.033,194.2,22.79,0.852
icr034793,1002.94,0.428,1.078,218.6,21.12,1.149
icr034794,1110.94,0.448,1.144,129.2,28.1,1.266
icr034813,665.241,0.518,0.986,130.8,56.86,2.57
icr034814,791.241,0.434,1.152,129.7,53.48,2.797
icr034833,812.341,0.721,1.212,139.2,83.12,2.806
icr034834,1145.94,0.442,1.196,133.4,29.7,1.244
icr034853,920.841,0.32,1.113,158.7,28.55,2.404
icr034854,1005.94,0.242,0.985,166.1,16.81,1.835
icr034873,1220.94,0.149,0.31,335.8,17.42,1.097
icr034874,1255.94,0.179,0.373,283.3,17.58,1.108
icr034893,631.441,0.13,0.245,311.9,28.01,1.467
icr034894,957.141,0.1,0.246,225.7,11.71,0.967
icr034913,753.441,0.158,0.202,383,12.02,1.474
icr034914,917.041,0.155,0.227,305.9,6.672,1.119
icr037417,786.1,0.085,0.375,177.7,39.31,0.47
icr037418,1281,0.095,0.298,53.34,7.419,0.299
icr037445,589,0.065,0.412,74.55,33.76,0.442
icr037446,1074,0.076,0.58,60.73,15.69,0.432
icr037453,521.6,0.152,0.671,153.6,127.7,0.94
icr037454,636.2,0.161,0.98,130.5,58.23,0.54
icr037475,560,0.062,0.18,56.52,51.93,0.369
icr037476,704.6,0.029,0.167,67.46,48.55,0.318
icr037491,711.3,0.112,0.689,282.4,81.91,0.66
icr037492,1142,0.109,0.735,54.38,31.01,0.531
icr037511,776.6,0.085,0.365,63.4,18.25,0.44
icr037512,1127,0.068,0.318,68.53,4.099,0.372
icr037531,563,0.097,0.403,98.78,245.1,0.523
icr037532,722,0.1,0.274,102.1,204,0.229
icr037553,566.6,0.097,0.777,55.24,23.32,0.899
icr037554,891.6,0.077,0.219,70.02,7.944,2.103
icr037574,472,0.092,0.252,56.72,84.39,0.381
icr037575,601.8,0.068,0.193,66.61,58.38,0.294
icr037590,670.8,0.26,0.676,90.01,143.1,0.879
icr037591,1013,0.161,0.537,66.15,107.1,0.552
icr037620,617.9,0.084,0.28,55.53,119.5,0.295
icr037621,966.1,0.088,0.257,61.05,68.11,0.388
icr037626,800.5,0.089,0.405,54.47,74.9,0.182
icr037627,1167,0.085,0.393,38.19,26.57,0.321
icr037646,1089,0.067,0.511,108.8,14.88,0.661
icr037647,1189,0.04,0.499,178.6,25,0.61
icr037675,1416,0.045,0.72,288.1,6.254,0.41
icr037676,1433,0.042,0.537,144.6,2.855,0.433
icr037689,1325,0.068,1.12,101.5,10.89,0.371
icr037690,1451,0.062,0.995,98.35,8.419,0.445
icr037699,1250,0.124,0.753,59.87,108.7,0.203
icr037700,1400,0.086,0.657,30.41,49.64,0.493
icr037755,1445,0.177,1.049,61.12,14.84,0.841
icr037756,1450,0.095,0.94,95.59,9.628,0.368
icr037767,1532,0.111,0.375,203.9,9.074,0.88
icr037768,1625,0.018,0.24,137.9,4.301,0.513
icr037787,1499,0.014,0.221,218.7,6.669,0.535
icr037788,1532,0.047,0.218,117.5,3.156,0.355
icr037807,1411,0.077,2.171,218.9,70.4,1.73
icr037808,1420,0.05,2.428,201.8,90.91,1.093
icr037843,1546,0.085,1.847,119.1,27.83,0.625
icr037844,1672,0.058,1.781,79.65,24.48,0.416
icr037851,1556,0.128,2.018,95,24.87,0.62
icr037852,1634,0.433,1.868,78.46,20.32,0.479
icr037869,1360.21,0.103,1.415,154.8,46.5,1.155
icr037870,1455.21,0.064,1.362,122.6,40.96,0.756
icr037901,1313.21,0.124,0.536,150,42.35,0.906
icr037902,1404.21,0.027,0.576,98.45,15.12,0.443
icr037907,1400.21,0.108,2.967,106,41.41,0.604
icr037908,1378.21,0.053,1.933,87.73,30.53,0.245
icr037927,1245.21,0.122,2.169,201.3,26.85,1.89
icr037928,1444.21,0.128,1.897,167.8,24.95,0.652
icr037947,1250.21,0.035,0.243,73.3,6.861,0.371
icr037948,1309.21,0.011,0.251,46.74,2.799,0.312
icr037969,967.606,0.03,0.738,90.45,43.98,1.807
icr037970,1098.21,0.009,0.68,64.29,23.87,0.78
icr037986,1336.21,0.108,2.408,75.4,51.75,0.575
icr037987,1477.21,0.058,1.985,56.17,46.63,0.466
icr038016,1378.21,0.038,0.265,404.8,85,0.903
icr038017,1182.21,0.035,0.413,462.5,106.5,0.978
icr038034,1688.21,0.065,0.276,130.7,10.82,0.586
icr038035,1769.21,0.029,0.217,100.4,4.596,0.301
icr038056,1333.21,0.079,0.765,64.46,13.59,0.595
icr038057,1284.21,0.125,1.066,57.2,25.65,0.796
icr038106,1103,0.277,5.658,236.2,97.18,1.176
icr038107,1059,0.265,6.804,234.5,82.73,1.162
icr038118,1085,0.21,2.037,251.5,112.2,1.414
icr038119,1084,0.156,1.728,166.4,92.73,0.886
icr038138,1022,0.463,1.617,190.4,65,1.477
icr038139,1038,0.605,1.738,200.8,45.13,1.11
icr038154,993.6,0.47,1.315,199,117,2.423
icr038155,973.5,0.517,1.275,189,117.6,2.433
icr038170,1229,0.252,1.523,143.1,66.36,0.585
icr038171,1371,0.184,1.186,114.5,57.25,0.54
icr038189,1117,1.294,2.919,240,117.1,8.429
icr038190,1148,0.92,2.281,186.4,72.47,3.417
icr038216,1104,0.478,3.143,197.9,95.66,1.345
icr038234,1056,0.753,1.802,202.1,63.17,1.273
icr038235,1063,0.696,1.738,194.8,50.07,1.726
icr038251,1044,0.314,5.09,427.5,149.4,3.098
icr038252,1007,0.348,5.105,312.7,76.06,1.679
icr038273,1211,0.578,1.498,145.1,75.46,0.834
icr038274,1434,0.131,0.698,94,58.29,0.273
icr038289,921.8,0.638,4.789,233.9,190.5,4.004
icr038290,950.9,1.243,4.524,241.6,157.5,2.523
icr038305,855,0.184,3.318,252.4,149.7,6.618
icr038306,860.1,0.164,3.98,250.6,161.5,5.892
icr038312,960.2,1.432,2.973,174.4,108.7,2.904
icr038313,1078,0.795,3.055,207.7,75.05,3.653
icr038331,1125,0.439,1.721,138.1,77.56,0.758
icr038332,1148,0.487,1.583,140.5,71.7,0.87
icr038351,947.5,0.634,4.34,241.5,196.7,3.704
icr038352,942.5,0.665,4.16,235.8,179.4,2.768
icr038368,789.6,0.697,1.715,142.6,292.1,4.285
icr038369,817.7,0.546,1.596,154.5,281.1,2.716
icr041641,668,2.51,2.89,45.6,256,0.81
icr041642,386,9.21,2.71,33.7,179,1.08
icr041659,711,1.78,2.5,70.8,307,0.94
icr041660,832,7.37,3,51.1,275,0.92
icr041679,864,0.81,2.58,120,286,1.43
icr041680,952,1.22,2.9,111,282,0.91
icr041699,686,0.84,2.22,80.2,352,1.45
icr041700,621,1.87,2.28,65.5,282,1.43
icr041719,441,2.59,1.93,25.7,215,1.5
icr041720,358,7.78,1.95,25.6,198,1.1
icr041739,529,3.51,1.7,39,166,1.23
icr041740,298,6.21,1.46,22.9,89.2,0.96
icr041759,641,2.82,2.82,49.7,342,0.86
icr041760,642,5.34,3.16,48.7,342,1.86
icr041779,612,0.97,1.72,84.2,192,1.51
icr041780,797,1.31,2.5,101,267,1.27
icr041799,1050,7.12,2.98,53.5,464,1.1
icr041800,995,16.5,3.03,51.2,479,1.99
icr041819,853,4.48,2.77,48.3,405,1.07
icr041820,670,15.8,2.67,39.5,364,1.94
icr041838,311,1.47,2.27,23.1,172,1.06
icr041839,311,1.45,3.18,36.9,204,1.82
icr041858,642,2.44,2.38,71.4,295,1.82
icr041859,452,9.81,2.56,42,288,2.39
icr041878,381,2.19,2.69,34.5,182,1.28
icr041879,110,2,3,23.1,92.9,1.07
icr041898,824,2.17,1.85,92.7,309,1.11
icr041899,889,0.34,0.67,103,13.1,1.02
icr041915,613,0.75,1.28,48.7,187,0.78
icr041916,742,1.05,1.35,43.9,152,0.74
icr041935,711,1.52,1.62,42.9,189,0.8
icr041936,771,2.76,1.81,48.4,182,0.71
icr041987,624,0.81,1.87,135,173,11.8
icr041988,557,0.73,1.77,95.1,214,6.58
icr042004,672,0.6,2.26,75.4,322,1.51
icr042005,614,1.01,2.58,61.1,297,0.9
icr042024,610,0.31,1.63,216,253,6.64
icr042025,625,0.25,1.79,194,237,3.61
icr042048,1100,0.32,2.46,173,306,2.35
icr042049,1130,0.27,3.17,223,592,2.42
icr042062,980,0.82,2.61,114,307,2.87
icr042063,1010,0.65,2.32,125,265,1.15
icr042078,581,0.65,1.55,70.9,216,1.8
icr042079,472,0.68,1.85,42.2,184,0.56
icr042098,540,0.44,1.21,74.4,82.8,1.18
icr042099,490,0.48,1.34,57.2,64.5,0.67
icr042115,933,0.76,2.75,121,307,3.73
icr042116,1180,0.65,2.46,88.8,214,0.87
icr042134,924,0.54,3.04,198,279,4.12
icr042135,1070,0.41,2.6,178,279,1.84
icr042152,597,0.62,1.66,70.2,255,0.64
icr042153,441,0.82,1.58,47.1,203,0.71
icr042170,417,0.25,0.92,157,146,1.1
icr042171,480,0.5,1.21,108,81.2,1.29
icr042189,713,2.45,2.4,92.2,319,10.3
icr042190,960,1.4,2.41,127,370,3.23
icr042208,856,0.95,3.54,124,365,5.92
icr042209,1010,0.64,3.16,124,319,1.42
icr042227,666,1.15,0.72,121,256,4.6
icr042228,840,0.34,0.54,100,85.4,1.13
icr042247,546,0.87,2.38,59.4,256,0.83
icr042248,424,0.83,2.24,43.7,214,0.66
icr042265,360,0.19,0.21,279,31,0.63
icr042266,780,0.18,0.27,240,4.28,0.37
icr042790,1640,0.12,0.72,72.8,5.94,0.14
icr042791,1630,0.1,0.65,64.1,5.48,0.21
icr042810,1440,0.12,3.51,78.7,29.7,0.55
icr042811,1350,0.083,3.06,74,20.9,0.44
icr042836,1590,0.078,0.95,67.8,4.74,0.47
icr042837,1520,0.071,0.92,59.3,5.8,0.38
icr042853,1760,0.11,0.78,60.4,7.58,0.32
icr042854,1670,0.18,0.76,69.5,7.23,0.39
icr042867,1410,0.15,0.69,85.8,6.87,0.27
icr042868,1380,0.16,0.68,76.4,6.41,0.22
icr042896,1600,0.064,1.53,110,3.02,0.57
icr042897,1560,0.039,1.6,84.1,1.05,0.47
icr042908,1560,0.12,1.32,69.6,5.53,0.18
icr042909,1560,0.071,1.25,60.4,3.45,0.41
icr042930,1720,0.16,0.74,52,7.23,0.28
icr042931,1780,0.12,0.67,62,5.86,0.25
icr042946,1720,0.13,1.04,59.9,10.8,0.78
icr042947,1750,0.095,0.97,63.3,7.77,0.33
icr042966,1530,0.14,1.47,50.5,7.38,0.45
icr042967,1530,0.13,1.52,49.7,7.08,0.32
icr042990,1960,0.076,0.52,51.8,3.56,0.23
icr042991,1880,0.037,0.51,44,4.15,0.21
icr043011,1680,0.1,0.69,75.1,3.83,0.18
icr043012,1630,0.09,0.62,79.9,5.12,0.19
icr043021,1760,0.1,1.37,60.2,14.4,0.25
icr043022,1750,0.072,1.28,58.9,12.1,0.39
icr043040,1700,0.1,0.96,78.6,13.2,0.58
icr043041,1700,0.085,0.93,70.2,12.7,0.22
icr043068,1690,0.054,1.7,83.4,10.6,0.44
icr043069,1660,0.051,1.69,75.2,8.48,0.34
icr043090,2190,0.1,0.55,69.3,9.08,0.38
icr043091,2130,0.033,0.48,61.6,6.7,0.22
icr043132,1790,0.11,1.46,125,33.7,0.43
icr043133,1700,0.095,0.79,52.3,12.5,0.43
icr043152,1470,0.067,0.47,92.3,11.9,0.39
icr043153,1530,0.038,0.42,76.3,7.94,0.33
icr043172,761,0.057,0.47,81.1,13.8,0.43
icr043173,1150,0.048,0.54,72.2,3.9,0.31
icr043198,1060,0.041,0.33,152,13.7,0.72
icr043199,1240,0.046,0.32,124,6.55,0.47
icr043211,1400,0.098,2.06,117,278,1.25
icr043212,1390,0.087,1.61,92.9,205,0.76
icr043230,1500,0.067,0.48,126,15.1,0.34
icr043231,1520,0.02,0.34,99.2,10.2,0.47
icr043248,1170,0.13,0.94,120,47.5,1.34
icr043249,1190,0.13,0.86,97.1,36.1,0.73
icr043266,1270,0.16,0.63,99.9,29.6,0.67
icr043267,1260,0.048,0.6,147,10.4,0.57
icr043287,1500,0.019,0.79,150,1.75,0.56
icr043288,1380,0.016,0.75,64.8,1.48,0.63
icr043299,1470,0.05,1.56,162,46,0.29
icr043300,1500,0.072,1.25,99.5,19.6,0.39
icr043324,1660,0.018,1,177,1.48,0.24
icr043325,1140,0.024,0.51,53.3,0.96,1.09
icr043332,1340,0.014,0.55,141,0.86,0.28
icr043333,1360,0.019,0.74,64,0.93,0.63
icr043347,841,0.069,0.95,100,80.4,1.08
icr043348,881,0.044,0.91,86.6,35.6,0.56
icr043363,783,0.21,1.28,98.7,203,0.85
icr043390,1060,0.29,1.09,111,41.4,2.09
icr043391,1660,0.078,1,192,13.4,0.49
icr043401,1490,0.035,0.55,168,8.02,0.38
icr043402,1600,0.056,0.65,109,7.81,0.51
icr048450,664,0.51,4.76,139,124,0.79
icr048451,697,0.46,3.89,115,93,0.61
icr048468,780,0.64,2.47,122,67.4,1.38
icr048469,794,0.75,2.97,110,101,0.84
icr048485,957,0.61,7.18,98.8,278,0.94
icr048486,982,0.67,7.72,108,334,0.89
icr048503,909,0.75,6.12,148,290,1.32
icr048504,609,0.41,4.06,119,190,0.59
icr048520,894,0.3,1.35,74.8,65.8,0.81
icr048521,1330,0.3,0.92,53.9,22.2,0.65
icr048528,549,0.22,2.18,128,41.8,0.92
icr048529,725,0.2,2.79,126,26.4,0.34
icr048549,1040,0.65,8.11,130,193,1.17
icr048550,1100,0.66,7.47,98.1,167,1.06
icr048566,958,0.34,8.48,236,86.6,1.86
icr048567,1020,0.2,7.28,130,63.7,1.02
icr048584,628,0.001,1.16,242,13.7,1.05
icr048585,572,0.001,0.9,133,22.9,0.81
icr048602,476,0.001,1.41,381,22.8,1.3
icr048603,323,0.001,1.06,231,8.67,0.42
icr048622,1030,0.001,5.05,350,23.6,1.36
icr048623,1070,0.001,3.63,178,15.8,0.42
icr048642,1170,0.49,9.72,149,120,1.78
icr048643,1180,0.44,7.96,104,78.6,1.12
icr048664,1020,0.28,3.93,142,115,0.99
icr048665,1250,0.001,3.57,112,94.1,0.53
icr048682,390,0.001,0.73,223,21,0.63
icr048683,364,0.001,0.68,196,17.7,0.36
icr048704,908,0.24,4.09,189,68,1.05
icr048705,1200,0.001,2.99,101,70,0.6
icr048721,1090,0.59,10.6,103,248,1.56
icr048722,1270,0.29,8.96,80,162,0.58
icr048740,501,0.001,1.04,53.2,73.9,0.001
icr048741,459,0.001,1.25,49.1,87,0.37
icr048755,422,0.22,2.1,58.4,105,0.47
icr048756,246,0.39,2.15,28.8,75.1,0.38
