SSN,Alx,Px,Kx,Sx
icr042909,62242,41,1267,28
icr042930,71926,60,3365,135
icr042931,77563,41,3244,118
icr042946,76727,41,2407,121
icr042947,79065,41,2344,92
icr042966,60104,41,2003,28
icr042967,74711,41,1887,53
icr042990,73369,41,7519,28
icr042991,61245,41,6427,28
icr043011,60763,57,2207,88
icr043012,60138,41,2142,118
icr043021,70013,41,1392,137
icr043022,84089,41,1494,140
icr043040,69489,41,1745,60
icr043041,70741,74,1692,89
icr043068,67968,41,10193,28
icr043069,69234,41,14241,28
icr043090,60432,41,8294,28
icr043091,48737,41,7094,28
icr043132,60659,41,9675,28
icr043133,66270,41,9747,28
icr043152,26373,41,1213,28
icr043153,28422,41,1121,28
icr043172,15756,41,1065,28
icr043173,27615,41,1574,28
icr043198,16904,41,1488,28
icr043199,22547,41,1912,28
icr043211,38292,41,9983,28
icr043212,46944,41,10532,28
icr043230,32295,41,2169,28
icr043231,34698,41,2155,28
icr043248,20965,41,1894,28
icr043249,23380,41,1832,28
icr043266,18583,41,2421,28
icr043267,22524,41,2507,28
icr043287,23230,41,1833,28
icr043288,19923,41,1212,28
icr043299,41731,41,4649,28
icr043300,47874,41,4949,28
icr043324,19172,41,1693,28
icr043325,33356,41,1771,28
icr043332,11555,41,1030,28
icr043333,15582,41,1065,28
icr043347,18872,41,7326,28
icr043348,27650,41,9692,28
icr043363,45193,78,17034,28
icr043390,51304,130,4127,28
icr043391,55675,60,3733,28
icr043401,41169,41,3066,28
icr043402,41925,41,3078,28
icr048450,22406,41,17705,28
icr048451,30809,41,19015,28
icr048468,36041,41,24929,28
icr048469,41874,41,27658,28
icr048485,26473,41,3308,28
icr048486,27398,41,3151,28
icr048503,25622,41,2864,28
icr048504,25487,41,2500,28
icr048520,38956,41,21192,28
icr048521,47209,41,19082,28
icr048528,14138,41,11125,28
icr048529,18806,41,12013,28
icr048549,42935,41,6788,28
icr048550,39326,41,6429,28
icr048566,30777,41,5379,28
icr048567,37230,41,4983,28
icr048584,26813,41,26897,28
icr048585,29806,41,27186,28
icr048602,18528,41,25837,28
icr048603,16882,41,25460,28
icr048622,24505,41,5794,28
icr048623,28137,41,5325,28
icr048642,47253,41,4731,28
icr048643,53021,41,3635,28
icr048664,30463,41,26868,28
icr048665,33506,41,23746,28
icr048682,11955,41,17767,28
icr048683,11121,41,18787,28
icr048704,24166,41,12785,28
icr048705,34912,41,11747,28
icr048721,45904,41,6367,28
icr048722,57071,41,5650,28
icr048740,16179,41,7798,28
icr048741,18725,41,9009,28
icr048755,21457,41,8711,28
icr048756,17451,41,7866,28
icr048770,26567,48,8505,28
icr048771,24675,41,7136,28
icr048786,31442,41,16173,28
icr048787,32738,41,16991,28
icr048793,17792,41,9039,28
icr048794,19596,41,8326,28
icr048820,29986,41,17187,28
icr048821,24968,41,12989,28
icr048824,17050,41,8509,28
icr048825,17168,41,7106,28
icr048837,16103,41,8558,28
icr048838,14972,41,7533,28
icr048854,24501,41,13594,28
icr048855,30779,41,13873,28
icr048868,26467,41,8588,28
icr048869,25899,41,7697,28
icr048886,23675,41,7420,28
icr048887,24611,41,7497,28
icr048899,22671,41,11797,28
icr048900,19338,41,10079,28
icr048912,27772,41,10292,28
icr048913,30075,41,10629,28
icr048931,20810,41,9430,28
icr048932,20415,84,8510,28
icr048942,19035,41,7490,28
icr048943,20323,41,6925,28
icr048960,23175,41,10295,28
icr048961,18523,41,8437,28
icr048977,25087,171,14949,28
icr048978,41623,225,25832,28
icr048985,39221,83,24439,28
icr048986,45374,57,30423,28
icr048992,14025,350,7548,28
icr048993,23212,41,10927,28
icr049013,24035,41,16178,28
icr049014,26676,41,17109,28
icr049022,28899,41,18202,300
icr049023,27305,41,17453,848
icr049044,27897,41,15479,28
icr049045,10288,343,6448,28
icr049056,23323,172,12646,28
icr049057,23036,331,11108,28
icr049068,26831,41,17692,28
icr049069,27369,41,18386,28
icr049074,23983,41,12970,28
icr049075,23960,41,13173,28
icr049098,34431,41,20821,28
icr049099,32751,41,19156,28
icr049100,26947,41,17203,28
icr049101,25179,41,16272,28
icr049115,27058,41,20102,28
icr049116,31375,41,20498,28
icr049130,22124,41,14114,28
icr049131,26142,41,16026,28
icr049152,21362,41,16036,28
icr049153,20239,41,15907,28
icr049156,24718,41,17710,28
icr049157,24923,41,18547,28
icr049174,24575,41,14969,28
icr049175,26595,41,17057,28
icr049177,8727,41,838,28
icr049178,8998,41,809,28
icr049197,6923,41,406,28
icr049198,7623,41,405,28
icr049217,6870,41,384,28
icr049218,8370,41,431,28
icr049237,9578,41,714,28
icr049238,10748,41,783,28
icr049257,4207,41,1164,28
icr049258,3388,41,971,28
icr049277,10599,41,822,28
icr049278,11998,41,875,28
icr049297,8016,41,439,28
icr049298,9534,41,452,28
icr049317,7234,41,428,28
icr049318,8824,41,467,28
icr049337,9867,41,714,28
icr049338,12388,41,739,28
icr049357,7831,41,355,28
icr049358,9550,41,411,28
icr049377,8965,41,720,28
icr049378,9703,41,740,28
icr049397,5016,41,408,28
icr049398,6933,41,291,28
icr049417,5329,41,400,28
icr049418,8145,41,318,28
icr049437,5571,41,443,28
icr049438,5646,41,476,28
icr049457,9750,41,897,28
icr049458,10760,41,929,28
icr049477,7269,41,1474,28
icr049478,9613,41,1606,28
icr049496,20514,41,19325,28
icr049497,19653,41,20625,28
icr049516,15971,41,13317,28
icr049517,16200,41,13224,28
icr049536,17388,41,16948,28
icr049537,17596,41,17094,28
icr049556,44879,41,21611,314
icr049557,55888,41,24960,228
icr049576,17854,41,16104,28
icr049577,17535,41,14639,28
icr049596,21170,41,19010,28
icr049597,23584,41,22127,28
icr049616,26954,41,23553,28
icr049617,26650,41,21927,28
icr049635,23417,41,21502,28
icr049636,25397,41,22047,28
icr049655,48651,41,19652,5574
icr049656,50993,41,20327,3326
icr049675,28062,41,23970,28
icr049676,29069,41,25129,28
icr049695,16527,41,11171,28
icr049696,18225,41,11320,28
icr049715,31088,41,27383,28
icr049716,28805,41,25465,28
icr049735,43354,41,19992,1914
icr049736,49072,41,22720,1192
icr049755,41162,41,19478,8463
icr049756,50154,41,23235,1469
icr049775,25948,41,24482,28
icr049776,26257,41,24382,28
icr049795,17803,41,16206,28
icr049796,19471,41,18303,28
icr049815,6042,41,4662,28
icr049816,5609,41,4379,28
icr049835,5074,41,2622,28
icr049836,6544,41,3547,28
icr049855,5146,41,5836,28
icr049856,7044,41,7274,28
icr049875,3408,41,2156,28
icr049876,3633,41,2495,28
icr049894,7838,41,4552,28
icr049895,6866,41,3769,28
icr049914,6145,41,3616,28
icr049915,6502,41,3492,28
icr049934,3622,41,2244,28
icr049935,3848,41,3152,28
icr049954,5478,41,1282,28
icr049955,6549,41,2113,28
icr049974,7811,41,6355,28
icr049975,8387,41,6582,28
icr049994,6153,41,3200,28
icr049995,5770,41,3019,28
icr050014,6213,41,3084,28
icr050015,6613,41,3932,28
icr050034,5277,41,1577,28
icr050035,5620,41,1773,28
icr050054,6306,41,4047,28
icr050055,4433,41,3233,28
icr050074,6164,41,3239,28
icr050075,8626,41,4883,28
icr050094,5558,41,2198,28
icr050095,5199,41,1895,28
icr050114,4953,41,1608,28
icr050115,6504,41,2106,28
icr050134,102043,41,26873,28
icr050135,123652,41,30914,28
icr050154,115905,12464,63345,28
icr050155,114582,11308,59576,28
icr050174,121618,41,101035,28
icr050175,141853,41,85909,28
icr050194,70916,41,97369,28
icr050195,73612,41,95675,28
icr050214,30839,41,10597,28
icr050215,57400,41,11506,28
icr050234,73820,6069,84552,28
icr050235,87000,5757,94889,28
icr050254,79959,41,106273,28
icr050255,74638,41,93429,28
icr050274,73320,41,11329,28
icr050275,80236,41,10418,28
icr050294,103626,41,5170,28
icr050295,120090,41,5281,28
icr050314,18304,41,10755,28
icr050315,24699,41,13100,28
icr050334,24485,41,29476,28
icr050335,24563,41,28429,28
icr050354,68865,41,1940,28
icr050355,93412,41,1687,28
icr050374,32077,41,1492,28
icr050375,41895,41,1408,28
icr050394,34636,41,58378,28
icr050395,39478,41,63413,28
icr050414,58607,41,98384,28
icr050415,55011,41,85051,28
icr050434,58472,41,3981,28
icr050435,64354,41,3793,28
icr054165,30515,41,8678,28
icr054166,34835,41,9722,28
icr054183,31998,41,10391,28
icr054184,40927,41,12082,28
icr054201,19754,41,5669,28
icr054202,10391,41,3403,28
icr054220,21789,41,7484,28
icr054221,19095,41,6756,28
icr054238,31397,41,11064,28
icr054239,40546,41,15021,28
icr054258,22228,41,7831,28
icr054259,41533,41,11012,28
icr054277,19292,41,7174,28
icr054278,18593,41,6994,28
icr054293,33500,41,7692,47
icr054294,29771,41,8051,28
icr054313,33553,41,12173,28
icr054314,44501,41,13275,28
icr054333,42566,41,14775,28
icr054334,42272,41,15011,28
icr054344,32606,41,17494,28
icr054345,39135,41,20327,28
icr054360,37531,41,8578,28
icr054361,22229,41,7889,28
icr054374,26616,41,3059,28
icr054375,29623,41,3399,28
icr054387,37290,41,2821,28
icr054388,51104,41,2751,28
icr054410,38943,41,9966,28
icr054411,41358,41,11044,37
icr054418,35955,41,6224,29
icr054419,37427,41,6061,28
icr054437,29806,116,2412,28
icr054438,43167,120,2220,28
icr054456,20856,41,12169,28
icr054457,26781,41,12858,28
icr054469,28173,41,3379,28
icr054470,29327,41,3534,28
icr054482,29383,41,3923,28
icr054483,39159,41,3990,28
icr054504,34102,357,2445,110
icr054505,30947,222,2107,44
icr054515,31172,44,4954,28
icr054516,35610,41,4504,28
icr054529,39896,41,3819,28
icr054530,44842,41,3351,28
icr054550,23436,41,2478,28
icr054551,26071,41,2481,28
icr054564,36965,41,3937,28
icr054565,40019,41,3783,28
icr054585,33542,57,2664,28
icr054586,38404,41,2515,28
icr054606,34851,41,6421,28
icr054607,36029,41,5101,28
icr054618,30567,41,3680,28
icr054619,34490,41,3645,28
icr054641,25228,41,3593,28
icr054642,35765,77,3598,28
icr054656,35746,41,4029,28
icr054657,41405,41,4056,28
icr054676,22673,41,2557,28
icr054677,29072,41,2896,28
icr054697,24615,41,3590,28
icr054698,28209,41,3836,28
icr055563,1831,41,874,28
icr055564,2352,41,1177,22
icr055583,2599,41,1653,28
icr055584,1863,41,1366,28
icr055603,1084,41,503,28
icr055604,2477,41,1494,28
icr055623,2133,41,1022,21
icr055624,1481,41,1031,28
icr055643,1334,41,647,28
icr055663,1703,41,913,28
icr055664,1573,37,789,28
icr055683,2135,41,737,22
icr055684,2902,41,1274,28
icr055703,2080,41,758,28
icr055704,2055,41,844,28
icr055723,1972,41,1103,28
icr055724,1944,41,1539,28
icr055742,1844,32,828,28
icr055743,2662,34,1290,28
icr055762,1557,32,367,28
icr055763,2312,41,748,22
icr055782,1569,32,560,28
icr055783,1497,33,661,28
icr055802,824,26,484,28
icr055803,1254,41,590,28
icr055822,2428,41,2219,28
icr055823,2351,41,2584,28
icr055842,991,41,412,28
icr055862,1134,41,380,28
icr055863,1301,41,674,28
icr055882,26076,41,2432,28
icr055883,27924,41,2602,28
icr055902,32586,41,2736,28
icr055903,41664,41,2994,28
icr055922,24443,41,3404,28
icr055923,32314,41,3933,28
icr055941,27773,41,1760,28
icr055942,33007,41,1782,28
icr055961,35322,41,2986,28
icr055962,38343,41,2929,28
icr055981,29689,41,3394,28
icr055982,32200,41,3705,28
icr056001,21584,41,2744,28
icr056002,20477,41,2670,28
icr056021,31275,41,1700,28
icr056022,34722,41,1784,28
icr056041,29681,41,3365,28
icr056042,30631,41,3424,28
icr056061,40259,41,2218,28
icr056062,40676,41,2224,28
icr056082,45821,41,3273,28
icr056101,35218,41,2909,28
icr056102,34859,41,2872,28
icr056121,17623,41,4942,28
icr056122,23925,41,6338,28
icr056141,18266,41,1481,28
icr056142,39658,41,2252,28
icr056161,15549,41,1663,28
icr056162,27269,41,2339,28
icr056181,25878,41,1776,28
icr056182,36703,41,1964,28
icr056200,39265,41,27703,28
icr056201,50774,41,35074,28
icr056220,46982,41,29503,28
icr056221,50942,41,33226,28
icr056240,44104,41,27506,28
icr056241,47925,41,28947,28
icr056260,58018,41,37154,28
icr056261,59081,41,38240,28
icr056280,52977,41,40098,28
icr056281,52213,41,36931,28
icr056300,46607,41,29069,28
icr056301,51336,41,33911,28
icr056320,42444,41,23061,28
icr056321,53227,41,30329,28
icr056340,33270,41,10357,28
icr056341,43586,41,10440,28
icr056360,51828,41,36515,28
icr056361,51044,41,38581,28
icr056380,50931,41,38205,28
icr056381,58288,41,39537,28
icr056400,25738,41,24285,28
icr056401,32254,41,31351,28
icr056420,13814,41,5848,28
icr056421,13381,41,5841,28
icr056440,42361,41,31801,28
icr056441,40401,41,36049,28
icr056460,13355,183,7062,28
icr056461,12648,41,6967,28
icr056480,36189,41,15377,28
icr056481,39673,41,13024,28
icr056500,32901,41,42340,28
icr056501,33937,41,46566,28
icr062134,43129,41,625,28
icr062135,54756,41,675,28
icr062155,48888,41,192,28
icr062156,52111,41,156,28
icr062175,42048,41,170,82
icr062176,44718,41,182,38
icr062195,38025,41,149,31
icr062196,41983,41,90,28
icr062215,50605,41,210,99
icr062216,50665,41,209,73
icr062237,58220,41,525,28
icr062238,55374,41,469,28
icr062255,79136,533,148,664
icr062256,79616,559,147,716
icr062275,50913,41,397,187
icr062276,52301,41,411,47
icr062294,46418,41,189,28
icr062295,46545,41,193,49
icr062314,59604,41,223,108
icr062315,59372,41,179,34
icr062334,58145,41,179,55
icr062335,57960,41,150,28
icr062353,54658,41,409,90
icr062354,63186,41,443,44
icr062373,54103,41,199,45
icr062374,52363,45,176,28
icr062395,48677,41,2286,79
icr062396,49533,41,1956,28
icr062413,40149,41,959,28
icr062414,39733,41,910,28
icr062433,53960,47,488,177
icr062434,56368,41,475,46
icr068101,17719,41,1385,28
icr068102,18653,41,1431,28
icr068131,9318,41,1586,28
icr068132,11808,41,1663,28
icr068149,7105,41,1067,28
icr068150,8739,41,1304,28
icr068161,12738,41,2026,28
icr068162,18994,41,2255,28
icr068181,18531,41,2102,28
icr068182,21327,41,2483,28
icr068199,21709,41,2216,28
icr068200,18450,41,2056,28
icr068221,13214,41,1692,28
icr068222,12565,41,1717,28
icr068239,16096,41,1698,28
icr068240,28273,41,2052,28
icr068265,12907,41,1591,28
icr068266,16315,41,1605,28
icr068279,14321,41,1784,28
icr068280,12905,41,1582,28
icr068301,25169,41,1581,28
icr068302,30894,41,1536,28
icr068321,37123,41,2523,28
icr068322,54246,41,2691,28
icr068339,12063,41,712,28
icr068340,14392,41,754,28
icr068361,22168,41,1538,28
icr068362,33483,41,1706,28
icr068381,23293,41,975,28
icr068382,20592,41,967,28
icr068399,17286,41,1734,28
icr068400,22924,41,1634,28
icr068419,28262,41,40454,28
icr068420,36200,41,45065,28
icr068439,30079,41,42906,28
icr068440,34619,41,45869,28
icr068459,29321,41,31345,28
icr068460,30881,41,33783,28
icr068481,33313,41,36238,28
icr068482,27800,41,31662,28
icr068499,26278,41,35468,28
icr068500,27114,41,33490,28
icr068521,28355,41,36461,28
icr068522,28585,41,31280,28
icr068539,25265,41,25619,28
icr068540,29480,41,29881,28
icr068559,27542,41,36053,28
icr068560,23408,41,29026,28
icr068579,17762,41,25610,28
icr068580,28909,41,28011,28
icr068599,26689,41,35510,28
icr068600,31385,41,37934,28
icr068619,28215,41,34820,28
icr068639,34301,41,41118,28
icr068640,37064,41,43497,28
icr068662,27810,41,42622,28
icr068663,33510,41,52887,28
icr068677,29030,41,41437,28
icr068678,35141,41,50361,28
icr068697,28170,41,30880,28
icr068698,33778,41,31202,28
icr068717,27631,41,27960,28
icr068718,30629,41,27432,28
icr069789,7066,41,1586,28
icr069790,6995,41,1611,28
icr069809,7576,41,1811,28
icr069810,7590,41,1500,28
icr069829,7331,41,1474,28
icr069830,7222,41,1120,28
icr069849,5575,41,1244,28
icr069850,6105,41,1122,28
icr069869,7112,41,1743,28
icr069870,7171,41,1655,28
icr069889,7073,41,1718,28
icr069890,7583,41,1826,28
icr069909,6479,41,1426,28
icr069910,7069,41,1416,28
icr069929,6789,41,1492,28
icr069930,6983,41,1307,28
icr069949,19031,41,5486,28
icr069950,6303,41,1503,28
icr069969,5857,41,1534,28
icr069970,5784,41,1740,28
icr069989,5558,41,1027,28
icr069990,6326,41,1064,28
icr070009,6944,41,1571,28
icr070010,7369,41,1391,28
icr070029,7072,41,2270,28
icr070030,7625,41,2252,28
icr070049,6987,41,2024,28
icr070050,6737,41,1749,28
icr070069,5816,41,1262,28
icr070070,6038,41,1193,28
icr070089,6208,41,1242,28
icr070090,6915,41,1207,28
icr070112,18814,41,2030,28
icr070113,37210,41,1386,28
icr070124,38273,41,2162,28
icr070125,26778,41,2852,28
icr070142,16461,41,1914,28
icr070143,12541,41,1208,28
icr070164,13311,41,1203,28
icr070165,15164,41,1252,28
icr070193,16438,41,1034,28
icr070194,18242,41,858,28
icr070202,17723,41,991,28
icr070203,15979,41,986,28
icr070246,19914,41,1508,28
icr070247,15665,41,1661,28
icr070262,10480,41,1287,28
icr070263,12407,41,1078,28
icr070276,14537,41,1125,28
icr070277,23319,41,1391,28
icr070288,20936,41,1150,28
icr070289,6368,41,711,28
icr070308,10213,41,891,28
icr070309,12544,41,1005,28
icr070328,12327,41,889,28
icr070329,10449,41,689,28
icr070348,11033,41,913,28
icr070349,21905,41,1401,28
icr070370,6874,41,826,28
icr070371,8279,41,864,28
icr070386,8260,41,739,28
icr072246,13810,41,552,28
icr072247,14223,41,645,28
icr072266,12813,41,403,28
icr072267,12956,41,393,28
icr072286,11830,41,403,28
icr072287,13536,41,386,28
icr072306,27219,41,12350,28
icr072307,26211,41,11832,28
icr072325,9833,41,323,28
icr072326,9986,41,291,28
icr072345,30950,41,5355,28
icr072346,31004,41,5435,28
icr072365,34176,41,5450,28
icr072366,36330,41,5712,28
icr072385,9621,41,422,28
icr072386,10144,41,413,28
icr072405,8703,41,259,28
icr072406,9520,41,268,28
icr072425,14674,41,2239,28
icr072426,17101,41,2887,28
icr072445,8014,41,962,28
icr072446,7304,41,807,28
icr072465,43987,41,7412,28
icr072466,43780,41,7641,28
icr072485,16863,41,2343,28
icr072486,19230,41,3016,28
icr072505,39782,41,11794,28
icr072506,40882,41,12540,28
icr072525,13817,41,380,28
icr072526,12204,41,320,28
icr072544,14486,41,1659,28
icr072545,10048,41,1211,28
icr072596,7422,41,3302,28
icr072597,9971,41,3450,28
icr072616,7379,41,2899,28
icr072617,13521,41,3891,28
icr072636,8812,41,2437,28
icr072637,11558,41,2552,28
icr072656,8400,41,1413,28
icr072657,13987,41,1625,28
icr072676,7541,41,3423,28
icr072677,9529,41,3528,28
icr072696,8317,41,2035,28
icr072697,11433,41,2413,28
icr072716,10202,41,2168,28
icr072717,12842,41,2268,28
icr072736,6625,41,3060,28
icr072737,11561,41,4010,28
icr072756,9817,41,1240,28
icr072757,13340,41,1616,28
icr072776,8138,41,3937,28
icr072777,12266,41,4446,28
icr072796,9170,41,2665,28
icr072797,10582,41,3083,28
icr072816,7807,41,3263,28
icr072817,11115,41,4044,28
icr072836,5791,41,3941,28
icr072837,6863,41,4537,28
icr072856,2688,41,3055,28
icr072857,5839,41,3939,28
icr072876,6771,41,3096,28
icr072877,10962,41,3292,28
icr072896,6142,41,3256,28
icr072897,8906,41,3528,28
icr072948,25823,41,303,28
icr072949,23795,41,357,28
icr072968,23780,41,3923,28
icr072969,33221,41,4502,28
icr072988,21741,41,1009,28
icr072989,35185,41,2983,28
icr073008,35274,41,824,28
icr073009,32464,41,951,28
icr073028,6655,41,200,28
icr073029,7714,41,166,28
icr073048,22624,41,8699,28
icr073049,27892,41,10378,28
icr073068,21304,41,1192,28
icr073069,19608,41,1119,28
icr073088,43189,41,685,28
icr073089,37990,41,924,32
icr073128,13717,41,327,28
icr073129,17926,41,324,28
icr073148,26959,41,1027,28
icr073149,35937,41,1036,28
icr073168,20783,41,2761,28
icr073169,26678,41,2991,28
icr073188,18604,41,365,28
icr073189,13389,41,292,28
icr073208,52268,41,14831,28
icr073209,43207,41,13833,28
icr073228,42450,41,19149,28
icr073229,46836,41,21092,28
icr073248,35574,41,825,28
icr073249,48820,41,695,28
icr073300,41250,41,2116,28
icr073301,36441,41,2288,28
icr073320,25150,41,9950,28
icr073321,29356,41,8549,28
icr073340,32173,41,19318,28
icr073341,34900,41,18812,28
icr073361,40051,41,14177,28
icr073362,43141,41,15991,28
icr073379,29533,41,42647,28
icr073380,32591,41,44806,28
icr073399,35646,41,1132,28
icr073400,37357,41,1223,28
icr073419,31723,41,24111,28
icr073420,36124,41,22806,28
icr073439,28455,41,3188,28
icr073440,26292,41,2670,28
icr073459,29520,41,34706,28
icr073460,34396,41,37530,28
icr073479,47697,41,6340,28
icr073480,46379,41,8444,28
icr073499,32584,41,1115,28
icr073500,28333,41,1005,28
icr073519,32004,41,5909,28
icr073520,39271,41,6531,28
icr073539,42375,41,23368,28
icr073540,36934,41,23300,28
icr073558,37530,41,3641,28
icr073559,39586,41,2958,28
icr073578,27470,41,972,28
icr073579,42724,41,1243,28
icr073598,30289,41,14606,28
icr073599,33902,41,24101,28
icr073649,19812,41,7880,28
icr073650,22249,41,10872,28
icr073670,21761,41,13585,28
icr073671,22795,41,13580,28
icr073686,30688,41,8195,28
icr073687,37276,41,7338,28
icr073703,31657,41,6842,28
icr073704,29985,41,5983,28
icr073723,26874,41,9486,28
icr073724,30681,41,10147,28
icr073743,28981,41,7506,28
icr073744,34209,41,6099,28
icr073762,33389,41,12068,28
icr073763,31198,41,10482,28
icr073799,31076,41,8865,28
icr073800,28033,41,8115,28
icr073819,31216,41,12448,28
icr073839,30647,41,9894,28
icr073840,31005,41,8496,28
icr073857,29658,41,7163,28
icr073858,29732,41,7267,28
icr073877,30051,41,10263,28
icr073878,28368,41,10489,28
icr073897,33246,41,9434,28
icr073898,30713,41,9641,28
icr073917,28588,41,8118,28
icr073918,32372,41,8220,28
icr073937,30272,41,7855,28
icr073938,28206,41,7210,28
icr073988,28878,41,14501,28
icr073989,21604,41,15861,28
icr074002,23346,41,16268,28
icr074003,24578,41,17136,28
icr074018,17371,41,13130,28
icr074019,21124,41,15850,28
icr074030,29527,41,26288,28
icr074031,29961,41,26239,28
icr074045,33405,41,27957,28
icr074046,34827,41,27557,28
icr074062,25267,41,23715,28
icr074063,28939,41,26033,28
icr074082,18465,41,8073,28
icr074083,20995,41,8436,28
icr074102,23145,41,12594,28
icr074103,29122,41,13699,28
icr074122,26329,41,20033,28
icr074123,31102,41,23822,28
icr074140,21489,41,14712,28
icr074141,22503,41,16206,28
icr074159,25036,41,17144,28
icr074160,21251,41,16257,28
icr074175,23536,41,11207,28
icr074176,28259,41,11833,28
icr074193,34644,41,18750,28
icr074194,32854,41,22461,28
icr074211,25177,41,18751,28
icr074212,30466,41,21212,28
icr074231,33467,41,20057,28
icr074232,31614,41,20866,28
icr074248,26674,41,18334,28
icr074249,29002,41,18476,28
icr074298,16802,41,6595,28
icr074299,14854,41,6975,28
icr074318,15165,41,8051,28
icr074319,13617,41,6358,28
icr074336,17326,41,5789,28
icr074337,14607,41,3873,28
icr074356,5699,41,3728,28
icr074357,7816,41,3678,28
icr074376,19122,41,7232,28
icr074377,19239,41,6281,28
icr074396,9335,41,6383,28
icr074397,12672,41,5670,28
icr074413,19240,41,8470,28
icr074414,15227,41,7096,28
icr074433,7615,41,3919,28
icr074434,7918,41,3816,28
icr074454,12213,41,6605,28
icr074455,15713,41,8512,28
icr074470,8443,41,6645,28
icr074471,8105,41,5760,28
icr074489,11290,41,6296,28
icr074490,11816,41,6220,28
icr074509,5300,41,5158,28
icr074510,6155,41,5225,28
icr074529,22557,41,11011,28
icr074530,23027,41,12028,28
icr074544,7914,41,5042,28
icr074545,7122,41,4741,28
icr074560,8316,41,6246,28
icr074561,7074,41,4619,28
icr074580,7990,41,7216,28
icr074581,9749,41,6582,28
icr074631,2018,41,384,28
icr074632,1928,41,484,28
icr074651,2788,41,937,28
icr074652,4047,41,1031,28
icr074671,2406,41,950,28
icr074672,2326,41,1095,28
icr074691,2471,41,1136,28
icr074692,3517,41,1443,28
icr074711,2494,41,913,28
icr074712,2462,41,868,28
icr074731,2762,41,952,28
icr074732,2155,41,1130,28
icr074751,2245,41,567,28
icr074752,2389,41,520,28
icr074771,2738,41,995,28
icr074772,2042,41,635,28
icr074791,2920,41,1063,28
icr074792,2651,41,1116,28
icr074811,1606,41,814,28
icr074812,2461,41,973,28
icr074831,2428,41,997,28
icr074832,3213,41,1135,28
icr074851,2836,41,1051,28
icr074852,3056,41,1005,28
icr074871,3821,41,1217,28
icr074872,3425,41,1147,28
icr074891,2942,41,783,28
icr074892,3395,41,806,28
icr074911,3795,41,1249,28
icr074912,3656,41,1263,28
icr074931,4645,41,1284,28
icr074932,3550,41,885,28
icr074983,18206,41,19892,28
icr074984,19984,41,22560,28
icr075003,13415,41,22780,28
icr075004,16095,41,22076,28
icr075023,19176,41,27254,28
icr075024,18648,41,22493,28
icr075043,23477,41,48148,28
icr075044,19534,41,36573,28
icr075063,15999,41,18421,28
icr075064,21592,41,17968,28
icr075083,15717,41,22771,28
icr075084,17543,41,25062,28
icr075103,15498,41,21759,28
icr075104,21797,41,24355,28
icr075123,18215,41,25420,28
icr075124,24668,41,25942,28
icr075143,18786,41,17247,28
icr075144,19833,41,15556,28
icr075163,19221,41,28543,28
icr075164,20682,41,31147,28
icr075183,16491,41,23827,28
icr075184,15365,41,23656,28
icr075203,29069,41,21996,28
icr075204,30277,41,24190,28
icr075224,42786,41,48696,28
icr075225,36990,41,43924,28
icr075240,12768,41,16623,28
icr075241,17887,41,18105,28
icr075260,18477,41,22503,28
icr075261,18320,41,25947,28
icr075280,24260,41,44831,28
icr075281,25218,41,40538,28
icr075331,37883,41,9693,28
icr075332,31110,41,10342,28
icr075350,25774,41,10832,28
icr075351,26896,41,9853,28
icr075370,11754,41,26011,28
icr075371,14738,41,30295,28
icr075390,17779,41,59923,28
icr075391,16221,41,60714,28
icr075410,26636,41,7414,28
icr075411,31040,41,6805,28
icr075430,19212,41,10340,28
icr075431,20401,41,8957,28
icr075450,18514,41,40690,28
icr075451,18344,41,40780,28
icr075469,16702,41,30673,28
icr075470,28471,41,24879,28
icr075490,9818,41,17931,28
icr075491,10945,41,15958,28
icr075508,23549,41,8330,28
icr075509,25847,41,8809,28
icr075528,16010,41,19259,28
icr075529,13856,41,22811,28
icr075548,17476,41,38527,28
icr075549,17687,41,34671,28
icr075567,27305,41,31747,28
icr075568,21021,41,25349,28
icr075587,20244,41,40581,28
icr075588,18350,41,35377,28
icr075607,29467,41,59143,28
icr075608,30175,41,62319,28
icr075626,34865,41,49982,28
icr075627,40482,41,53496,28
icr075676,6404,41,2505,28
icr075677,6647,41,2885,28
icr075696,5021,41,3738,28
icr075697,7586,41,4809,28
icr075716,4874,41,5227,28
icr075717,4155,41,5339,28
icr075736,30393,41,6461,28
icr075737,36479,41,9045,28
icr075756,6144,41,3337,28
icr075757,11666,41,3613,28
icr075776,5468,41,3472,28
icr075777,9998,41,4446,28
icr075796,19666,41,8458,28
icr075797,25865,41,9266,28
icr075816,31110,41,6466,28
icr075817,29158,41,6668,28
icr075836,17745,41,8870,28
icr075837,28109,41,10407,28
icr075856,8342,41,7243,28
icr075857,8573,41,7498,28
icr075876,36032,41,11802,28
icr075877,40021,41,11986,28
icr075896,33456,41,10975,28
icr075897,39453,41,12301,28
icr075916,15064,41,5963,28
icr075917,21359,41,6894,28
icr075936,31574,41,11711,28
icr075937,39890,41,11453,28
icr075956,40032,41,7246,28
icr075957,46389,41,7722,28
icr075976,42883,41,14153,62
icr075977,50253,41,11614,28
icr076347,55180,197,20977,28
icr076348,46878,41,21106,28
icr076364,42185,213,17742,28
icr076365,45936,104,21803,28
icr076384,45562,116,7914,28
icr076385,53073,64,6802,28
